case_id,ablation,variant,threshold,library,train_trajectories,test_extrap_mean_nrmse,test_extrap_std_nrmse,coefficient_grid_nrmse,active_terms
E3,slot_selection,correct_stiffness_theta,1e-08,"theta^0,theta^2,theta^4,theta^6",8,0.0007072745043075452,0.0006612607240100314,0.0020616283865686337,4
E3,slot_selection,wrong_damping_theta,1e-08,"theta^0,theta^2,theta^4,theta^6",8,1.4065122171341633,0.4263445593558761,,4
E3,z_input,z_theta_omega_extra,1e-08,"1,theta,theta^2,theta^4,omega,omega^2,theta*omega",8,0.013965584068084076,0.01157882388860084,0.03162562798779118,4
E3,library_degree,correct_stiffness_theta,1e-08,"theta^0,theta^2",8,0.1916998167471747,0.1290714245453476,0.29230386579105483,2
E3,library_degree,correct_stiffness_theta,1e-08,"theta^0,theta^2,theta^4,theta^6",8,0.0007072745043075452,0.0006612607240100314,0.0020616283865686337,4
E3,library_degree,correct_stiffness_theta,1e-08,"theta^0,theta^2,theta^4,theta^6,theta^8,theta^10",8,7.18394250199624e-07,7.809736438100323e-07,2.824398903854711e-06,5
E3,threshold,correct_stiffness_theta,1e-10,"theta^0,theta^2,theta^4,theta^6",8,0.0007072745043075452,0.0006612607240100314,0.0020616283865686337,4
E3,threshold,correct_stiffness_theta,1e-08,"theta^0,theta^2,theta^4,theta^6",8,0.0007072745043075452,0.0006612607240100314,0.0020616283865686337,4
E3,threshold,correct_stiffness_theta,1e-06,"theta^0,theta^2,theta^4,theta^6",8,0.0007072745043075452,0.0006612607240100314,0.0020616283865686337,4
E3,threshold,correct_stiffness_theta,0.0001,"theta^0,theta^2,theta^4,theta^6",8,0.0007072745043075452,0.0006612607240100314,0.0020616283865686337,4
E3,threshold,correct_stiffness_theta,0.01,"theta^0,theta^2,theta^4,theta^6",8,0.1916998167471747,0.1290714245453476,0.29230386579105483,2
E3,train_data_amount,correct_stiffness_theta,1e-08,"theta^0,theta^2,theta^4,theta^6",2,0.0010968943698430012,0.0009681290917392133,0.0028958398126463754,4
E3,train_data_amount,correct_stiffness_theta,1e-08,"theta^0,theta^2,theta^4,theta^6",4,0.0008790838328176501,0.0007991105166524989,0.0024394137570129134,4
E3,train_data_amount,correct_stiffness_theta,1e-08,"theta^0,theta^2,theta^4,theta^6",8,0.0007072745043075452,0.0006612607240100314,0.0020616283865686337,4
E4,slot_selection,v_abs,1e-08,"1,abs(v)",7,1.4046291524162653e-16,3.397301601648414e-17,4.965124928255334e-16,2
E4,slot_selection,u_abs,1e-08,"1,abs(u)",7,0.2668614050011391,0.035438027974767104,1.303825059117633,2
E4,z_input,v_plus_u,1e-08,"1,abs(v),abs(u),abs(v)*abs(u)",7,1.4046291524162653e-16,3.397301601648414e-17,4.965124928255334e-16,2
E4,library_degree,high_order,1e-08,"1,abs(v),v,abs(v)^2",7,1.4046291524162653e-16,3.397301601648414e-17,4.965124928255334e-16,2
E4,threshold,v_abs,1e-10,"1,abs(v)",7,1.4046291524162653e-16,3.397301601648414e-17,4.965124928255334e-16,2
E4,threshold,v_abs,1e-08,"1,abs(v)",7,1.4046291524162653e-16,3.397301601648414e-17,4.965124928255334e-16,2
E4,threshold,v_abs,1e-06,"1,abs(v)",7,1.4046291524162653e-16,3.397301601648414e-17,4.965124928255334e-16,2
E4,threshold,v_abs,0.0001,"1,abs(v)",7,1.4046291524162653e-16,3.397301601648414e-17,4.965124928255334e-16,2
E4,threshold,v_abs,0.01,"1,abs(v)",7,1.4046291524162653e-16,3.397301601648414e-17,4.965124928255334e-16,2
E4,train_data_amount,v_abs,1e-08,"1,abs(v)",3,2.3043070842356364e-16,1.636652629188502e-17,7.93638057736513e-16,2
E4,train_data_amount,v_abs,1e-08,"1,abs(v)",5,2.393485075650875e-16,1.404582685909839e-17,8.155360050175393e-16,2
E4,train_data_amount,v_abs,1e-08,"1,abs(v)",7,1.4046291524162653e-16,3.397301601648414e-17,4.965124928255334e-16,2
E5,slot_selection,S_poly_degree_4,1e-08,"S^0,S^1,S^2,S^3,S^4",8,1.2818333881342854,1.0588908685895242,9.530336631424614,5
E5,slot_selection,X_poly_degree_4,1e-08,"X^0,X^1,X^2,X^3,X^4",8,5.992891986172066,8.347843679933245,1.4991769366439889,5
E5,z_input,X_S_poly_degree_1,1e-08,"1,S,S^2,X,X*S",8,1.2923954763233094,1.032857963273531,4.364815750704547,5
E5,library_degree,S_poly_degree_1,1e-08,"S^0,S^1",8,0.5902442287436677,0.19895731977771156,3.483829740782538,2
E5,library_degree,S_poly_degree_2,1e-08,"S^0,S^1,S^2",8,1.3439380974652237,0.9449953351257313,4.513096757970117,3
E5,library_degree,S_poly_degree_4,1e-08,"S^0,S^1,S^2,S^3,S^4",8,1.2818333881342854,1.0588908685895242,9.530336631424614,5
E5,library_family,S_rational,,a*S/(1+b*S),8,1.8885776503024343e-16,3.266697537453889e-16,6.591200883048093e-16,2
E5,threshold,S_poly_degree_4,1e-10,"S^0,S^1,S^2,S^3,S^4",8,1.2818333881342854,1.0588908685895242,9.530336631424614,5
E5,threshold,S_poly_degree_4,1e-08,"S^0,S^1,S^2,S^3,S^4",8,1.2818333881342854,1.0588908685895242,9.530336631424614,5
E5,threshold,S_poly_degree_4,1e-06,"S^0,S^1,S^2,S^3,S^4",8,1.2818333881342854,1.0588908685895242,9.530336631424614,5
E5,threshold,S_poly_degree_4,0.0001,"S^0,S^1,S^2,S^3,S^4",8,1.2818333881342854,1.0588908685895242,9.530336631424614,5
E5,threshold,S_poly_degree_4,0.01,"S^0,S^1,S^2,S^3,S^4",8,1.2853999522950328,1.052813676861128,9.971737221982526,4
E5,train_data_amount,S_rational,,a*S/(1+b*S),3,9.070437630564715e-17,1.493292964768223e-16,6.06830073278036e-16,2
E5,train_data_amount,S_rational,,a*S/(1+b*S),5,1.8885776503024343e-16,3.266697537453889e-16,6.591200883048093e-16,2
E5,train_data_amount,S_rational,,a*S/(1+b*S),8,1.8885776503024343e-16,3.266697537453889e-16,6.591200883048093e-16,2
