s0,q_assumed_ah,soc_min,soc_max,score_bias_offset_mv,rmse_no_bias_mv,bias_no_bias_mv,rmse_with_score_bias_mv,bias_with_score_bias_mv
0.2,1.6,0.001,0.2,-189.9503120599485,436.338264662139,-189.9503120599485,392.823064695411,1.5452486119405823e-13
0.21,1.6,0.001,0.21,-187.86765400809517,434.84654396759805,-187.86765400809517,392.16993941155,-1.5452486119405823e-13
0.22,1.6,0.001,0.22,-185.8241425935374,433.45539632298414,-185.8241425935374,391.6030753593386,0.0
0.23,1.6,0.001,0.23,-183.27055433294797,431.46700183793155,-183.27055433294797,390.6093670017498,-1.5452486119405823e-13
0.24,1.6,0.001,0.24,-180.01374357057563,428.7478439905104,-180.01374357057563,389.12692768840617,-7.726243059702911e-14
0.25,1.6,0.001,0.25,-177.35730124101903,426.74901984909735,-177.35730124101903,388.1483139711774,-1.9315607649257278e-14
0.26,1.6,0.001,0.26,-174.96639538341952,425.05798679408605,-174.96639538341952,387.37714520086814,3.8631215298514557e-14
0.27,1.6,0.001,0.27,-172.5988963478695,423.4001426717166,-172.5988963478695,386.6229452501848,3.8631215298514557e-14
0.28,1.6,0.001,0.28,-170.38278157429164,421.9129710539119,-170.38278157429164,385.9796145997173,-1.1589364589554367e-13
0.29,1.6,0.001,0.29,-168.25462151554362,420.48609397861185,-168.25462151554362,385.3555988539042,-1.9315607649257278e-14
0.3,1.6,0.001,0.3,-164.68690007092468,417.41454493417166,-164.68690007092468,383.5532913007408,-1.1589364589554367e-13
0.31,1.6,0.001,0.31,-161.72479410907525,415.15799679914375,-161.72479410907525,382.36272474792185,9.657803824628639e-14
0.32,1.6,0.001,0.32,-159.08741098679712,413.3264614502945,-159.08741098679712,381.4838914037389,-9.657803824628639e-14
0.33,1.6,0.001,0.33,-156.51855573553127,411.57322250740094,-156.51855573553127,380.65004820121845,-1.5452486119405823e-13
0.34,1.6,0.001,0.34,-154.07569121308921,409.9663904731065,-154.07569121308921,379.91199335471947,-3.8631215298514557e-14
0.35,1.6,0.001,0.35,-151.72907171455438,408.4598543916911,-151.72907171455438,379.2330964543063,-3.8631215298514557e-14
0.36,1.6,0.001,0.36,-148.44956228406463,405.8363403823763,-148.44956228406463,377.7113482973865,-1.3520925354480096e-13
0.37,1.6,0.001,0.37,-145.10649244684112,403.25298673363557,-145.10649244684112,376.24071704079626,1.5452486119405823e-13
0.38,1.6,0.001,0.38,-142.19736092759734,401.2580438536345,-142.19736092759734,375.21717485007514,1.5452486119405823e-13
0.39,1.6,0.001,0.39,-139.44630656264695,399.447500899852,-139.44630656264695,374.316755651111,-1.5452486119405823e-13
0.4,1.6,0.001,0.4,-136.7985226550728,397.7471382702925,-136.7985226550728,373.4821952939614,-1.9315607649257278e-14
0.41,1.6,0.001,0.41,-134.29656939870287,396.20457560813355,-134.29656939870287,372.749912381694,-3.8631215298514557e-14
0.42,1.6,0.001,0.42,-131.3968243961011,394.1308110394199,-131.3968243961011,371.58306036364354,1.3520925354480096e-13
0.43,1.6,0.001,0.43,-127.70742829198039,391.2163233951964,-127.70742829198039,369.78510577077543,1.7384046884331552e-13
0.44,1.6,0.001,0.44,-124.56241012906638,389.0478794462959,-124.56241012906638,368.5681191916873,-3.8631215298514557e-14
0.45,1.6,0.001,0.45,-121.68585717474794,387.2138046481259,-121.68585717474794,367.5963583520978,-3.8631215298514557e-14
0.46,1.6,0.001,0.46,-118.86125166725861,385.42669129430493,-118.86125166725861,366.64115591974684,-9.657803824628639e-14
0.47,1.6,0.001,0.47,-116.20362734584091,383.8237715198386,-116.20362734584091,365.81061298899215,2.1247168414183007e-13
0.48,1.6,0.001,0.48,-113.65987154622312,382.31332502871425,-113.65987154622312,365.0272758227902,-1.5452486119405823e-13
0.49,1.6,0.001,0.49,-109.67886437721783,379.09176493576234,-109.67886437721783,362.87892326647346,1.3520925354480096e-13
0.5,1.6,0.001,0.5,-106.29915395452478,376.7023902643446,-106.29915395452478,361.39338773616595,-1.8349827266794416e-13
0.51,1.6,0.001,0.51,-103.26705271388037,374.7741939336476,-103.26705271388037,360.2660298479498,-1.9315607649257278e-14
0.52,1.6,0.001,0.52,-100.31983585619099,372.93604129247433,-100.31983585619099,359.1896733324735,2.1247168414183007e-13
0.53,1.6,0.001,0.53,-97.52518899796071,371.25312312859586,-97.52518899796071,358.2146269258814,1.9315607649257278e-13
0.54,1.6,0.001,0.54,-94.85404961324251,369.6807704062155,-94.85404961324251,357.30460573592046,9.657803824628639e-14
0.55,1.6,0.001,0.55,-91.31108833771907,366.9688066777976,-91.31108833771907,355.4270533050461,-9.657803824628639e-15
0.56,1.6,0.001,0.56,-87.68541467768816,364.24654810692056,-87.68541467768816,353.53474491287136,3.8631215298514557e-14
0.57,1.6,0.001,0.57,-84.51946827218276,362.1600247920215,-84.51946827218276,352.1595420265438,-1.7384046884331552e-13
0.58,1.6,0.001,0.58,-81.51479738250458,360.27140353349955,-81.51479738250458,350.9285141046348,2.0281388031720143e-13
0.59,1.6,0.001,0.59,-78.6276548275598,358.4920713926719,-78.6276548275598,349.76314435304164,-6.760462677240048e-14
0.6,1.6,0.001,0.6,-75.91472415035608,356.88290829736275,-75.91472415035608,348.7153063631696,7.726243059702911e-14
0.61,1.6,0.001,0.61,-72.84996600559971,354.7378082959543,-72.84996600559971,347.17689307844233,-5.794682294777183e-14
0.62,1.6,0.001,0.62,-68.96360702777658,351.61649867254556,-68.96360702777658,344.7871561477583,0.0
0.63,1.6,0.001,0.63,-65.64581221271418,349.31388916986015,-65.64581221271418,343.09010552026473,1.9315607649257278e-13
0.64,1.6,0.001,0.64,-62.61143470541774,347.37848362113033,-62.61143470541774,341.6893605704531,1.0623584207091504e-13
