soc_delta,soc_min,soc_max,score_bias_offset_mv,rmse_no_bias_mv,bias_no_bias_mv,rmse_with_score_bias_mv,bias_with_score_bias_mv
-0.6,0.001,0.38,-91.85363594936715,363.86368532826424,-91.85363594936715,352.0790977373511,2.221294879664587e-13
-0.595,0.001,0.385,-89.65697722764479,362.41465529882873,-89.65697722764479,351.14955333841783,-2.897341147388592e-14
-0.59,0.001,0.39,-87.65015314733654,361.1044154664726,-87.65015314733654,350.3053661059609,3.8631215298514557e-14
-0.585,0.001,0.395,-85.62898729316977,359.802441874324,-85.62898729316977,349.4645528717791,-5.794682294777183e-14
-0.58,0.001,0.4,-82.98838329270833,357.68732567989036,-82.98838329270833,347.92693369512875,2.0281388031720143e-13
-0.575,0.001,0.405,-80.23818598589344,355.54467127823625,-80.23818598589344,346.3724105410854,-5.794682294777183e-14
-0.57,0.001,0.41000000000000003,-77.79383531464032,353.788189128129,-77.79383531464032,345.1292539811706,4.8289019123143196e-14
-0.565,0.001,0.41500000000000004,-75.40363110706826,352.15311679422877,-75.40363110706826,343.98562482138544,2.897341147388592e-14
-0.56,0.001,0.41999999999999993,-73.13809500759943,350.62465168998693,-73.13809500759943,342.91174583467387,-1.5452486119405823e-13
-0.555,0.001,0.42499999999999993,-70.86783435171277,349.123865189747,-70.86783435171277,341.85555911719035,6.760462677240048e-14
-0.55,0.001,0.42999999999999994,-68.78445354506023,347.7620149959093,-68.78445354506023,340.89165144444723,-9.657803824628639e-14
-0.545,0.001,0.43499999999999994,-66.70390612752023,346.42128441893874,-66.70390612752023,339.938663887764,-1.5452486119405823e-13
-0.54,0.001,0.43999999999999995,-64.09057879037158,344.3462106950027,-64.09057879037158,338.3292930420338,-2.221294879664587e-13
-0.535,0.001,0.44499999999999995,-61.28353646937931,342.11994891214044,-61.28353646937931,336.58637465211183,-1.7384046884331552e-13
-0.53,0.001,0.44999999999999996,-58.7494863726788,340.26263726126854,-58.7494863726788,335.15244317614633,-5.794682294777183e-14
-0.525,0.001,0.45499999999999996,-56.30856785240314,338.57058261882025,-56.30856785240314,333.8553348401949,1.7384046884331552e-13
-0.52,0.001,0.45999999999999996,-53.974694186269566,336.98320577037305,-53.974694186269566,332.63255005903477,-2.897341147388592e-14
