model,split,record,filename,temperature_c,amplitude_token,n_score,init_method,s0,v10,soc_min,soc_max,stable_fraction,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
ocv_only,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,37360,prefix_output_error,0.98,0.0,0.10180357360222536,0.98,1.0,183.82419408293632,136.50400726529796,713.2829340833799,135.96694876194346,0.9919843839597338
ocv_only,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,39005,training_fit,0.7967106651001701,0.0,-0.05555736686568369,0.7967106651001701,1.0,224.36937946805963,182.3584102354525,662.8224102820333,174.58465374631004,0.638146051925503
ocv_only,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,37360,prefix_output_error,0.98,0.0,0.10327855413367737,0.98,1.0,21.301452271939365,18.18900435829767,218.60834521003713,17.721887157116775,0.5791661401252988
ocv_only,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,37360,training_fit,0.9138410247932438,0.0,0.03271049745095134,0.9138410247932438,1.0,57.05008225347101,43.669353324984456,233.89475780677049,33.82495263781755,0.9235451028777496
ocv_only,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,37360,prefix_output_error,0.98,0.0,0.1039873313569255,0.98,1.0,168.01256991840432,124.92027161784188,674.3504192965397,124.2533653716816,0.9801107153590133
ocv_only,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,37360,training_fit,0.9239608261488702,0.0,0.04957304138620422,0.9239608261488702,1.0,36.883799167021834,28.853425002955653,226.63571553348615,23.411833801031836,0.9149649812436714
ocv_only,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,37360,training_fit,0.9353865580960696,0.0,0.05453436026540992,0.9353865580960696,1.0,28.094707815635232,22.042731388340602,244.09871522239746,17.4626025364751,0.7306152977042912
ocv_only,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,37360,training_fit,0.9477895969864929,0.0,0.06960420347121221,0.9477895969864929,1.0,18.230486263771425,13.769670839992536,242.0671762042046,10.581833657314473,0.4696143213666711
ocv_only,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,37360,training_fit,0.9091931859732114,0.0,0.03459137924282418,0.9091931859732114,1.0,60.38064027264114,44.86163833729138,233.4695441210961,34.42962989110527,0.9374977802859652
ocv_only,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,37360,prefix_output_error,0.98,0.0,0.10636804492140428,0.98,1.0,168.06565395616371,123.51125702051674,717.1066502829033,121.36253145297137,0.9842161307730406
ocv_only,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,37360,prefix_output_error,0.98,0.0,0.10588108887532754,0.98,1.0,168.38813384911168,121.01758318328308,761.857019990122,115.98101659639474,0.9685339555924538
ocv_only,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,37360,training_fit,0.9436406801216085,0.0,0.06618244574597809,0.9436406801216085,1.0,23.87280637907087,18.005216876390094,214.4753111204416,13.876492047480557,0.6330533341791255
ocv_only,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,39460,prefix_output_error,0.98,0.0,0.15983632560968197,0.98,1.0,37.59886715940856,29.038332049051355,231.9718098278276,25.60470772548145,0.8342271777184703
ocv_only,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,47086,prefix_output_error,0.98,0.0,0.2143915247127619,0.98,1.0,452.9625263466791,260.93679598549187,1348.7614926744418,259.58223135216866,1.1366857456536383
ohmic_only,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,37360,prefix_output_error,0.98,0.0,0.10180357360222536,0.98,1.0,183.82419409668583,136.50400727554535,713.2829341819464,135.96694877165294,0.9919843840339312
ohmic_only,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,39005,training_fit,0.7967095010054779,0.0,-0.055558530960375885,0.7967095010054779,1.0,224.3684601004816,182.35755892367936,662.822410380256,174.58349396300702,0.6381434370821069
ohmic_only,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,37360,prefix_output_error,0.98,0.0,0.10327855413367737,0.98,1.0,21.301452288529887,18.189004368020797,218.60834521003713,17.721887166808347,0.5791661405763792
ohmic_only,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,37360,training_fit,0.913841727727889,0.0,0.032711200385596495,0.913841727727889,1.0,57.04989278142937,43.669356202236564,233.8945976282494,33.82538224019766,0.9235420356433255
ohmic_only,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,37360,prefix_output_error,0.98,0.0,0.1039873313569255,0.98,1.0,168.01256993305492,124.92027162817159,674.3504193987708,124.25336538136811,0.9801107154444783
ohmic_only,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,37360,training_fit,0.9239275190773757,0.0,0.049539734314709705,0.9239275190773757,1.0,36.88864266347921,28.851877941036463,226.64135467975566,23.39840667477444,0.9150851323600249
ohmic_only,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,37360,training_fit,0.9354007371710322,0.0,0.054548539340372515,0.9354007371710322,1.0,28.092763131861293,22.043425337203736,244.09688572258315,17.46755180928052,0.7305647253429852
ohmic_only,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,37360,training_fit,0.9477696511382997,0.0,0.06958425762301901,0.9477696511382997,1.0,18.232090128714457,13.76841194819815,242.06848030965665,10.57580812378662,0.4696556366632511
ohmic_only,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,37360,training_fit,0.9091941500147677,0.0,0.034592343284380433,0.9091941500147677,1.0,60.380441190997054,44.86164582977234,233.4693539624473,34.430207966336255,0.9374946892521738
ohmic_only,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,37360,prefix_output_error,0.98,0.0,0.10636804492140428,0.98,1.0,168.06565397471616,123.51125703293953,717.1066504303702,121.36253146262337,0.9842161308816862
ohmic_only,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,37360,prefix_output_error,0.98,0.0,0.10588108887532754,0.98,1.0,168.38813387256138,121.01758319871048,761.8570201655795,115.9810166060567,0.9685339557273316
ohmic_only,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,37360,training_fit,0.9436406801403521,0.0,0.06618244576472165,0.9436406801403521,1.0,23.872806404095588,18.005216890998767,214.47531111752926,13.876492062879112,0.633053334842725
ohmic_only,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,39460,prefix_output_error,0.98,0.0,0.15983632560968197,0.98,1.0,37.59886722090186,29.03833207894308,231.9718098278276,25.604707734120616,0.8342271790828566
ohmic_only,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,47086,prefix_output_error,0.98,0.0,0.2143915247127619,0.98,1.0,452.96252634893307,260.93679599608174,1348.7614928570104,259.58223135890137,1.1366857456592945
constant_ecm,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,37360,prefix_output_error,0.98,-0.23075810221850113,0.10180357360222536,0.98,1.0,184.11942630549257,136.6578191844634,713.2877862109818,136.1864649830059,0.9935775679031128
constant_ecm,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,39005,training_fit,0.7966693299049732,-0.3003399567643012,-0.05559870206088058,0.7966693299049732,1.0,224.80442634604825,182.51863198408446,662.8250184186146,174.81592504707828,0.639383401907257
constant_ecm,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,37360,prefix_output_error,0.98,-0.3663123214857814,0.10327855413367737,0.98,1.0,21.484159950857375,18.365452890864574,158.58192739762788,18.06809251126221,0.5841337873926914
