model,split,record,filename,temperature_c,amplitude_token,tau_s,dynamic_gain_ohm,n_score,s0,soc_min,soc_max,r0_min_ohm,r0_max_ohm,dynamic_correction_min_v,dynamic_correction_max_v,dynamic_correction_rms_mv,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
BATT4a2_R0T_physical,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,,0.0,37360,0.98,0.10180357360222536,0.98,0.12147634023036406,0.12147634023036406,0.0,0.0,0.0,85.79505803745757,56.90504404999565,395.9737558138752,10.654945647609912,0.46298235234301577
BATT4a2_R0T_physical,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,,0.0,39005,0.8728629614415837,0.02059492947572994,0.8728629614415837,0.18621058056917605,0.18621058056917605,0.0,0.0,0.0,97.06565159911997,79.9482984344833,410.9955136382819,11.285819073854896,0.27607181734160224
BATT4a2_R0T_physical,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,,0.0,37360,0.98,0.10327855413367737,0.98,0.006854743244735878,0.006854743244735878,0.0,0.0,0.0,12.621989964303395,8.42742313541722,241.07267976905166,-6.673327914966109,0.3431798506036933
BATT4a2_R0T_physical,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,,0.0,37360,0.9749747511731174,0.09384422383082491,0.9749747511731174,0.07067874020544751,0.07067874020544751,0.0,0.0,0.0,27.159203474890578,18.16176677894717,334.5176270140535,-1.1272869022883478,0.4396619317015881
BATT4a2_R0T_physical,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,,0.0,37360,0.98,0.1039873313569255,0.98,0.12147634023036406,0.12147634023036406,0.0,0.0,0.0,74.73612581670686,51.11607396760915,387.29369810562275,-0.6138886420386974,0.435977366294365
BATT4a2_R0T_physical,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,,0.0,37360,0.9817458453334182,0.10735806057075226,0.9817458453334182,0.03381778049442643,0.03381778049442643,0.0,0.0,0.0,12.636194467288536,8.52222958346183,249.7063376889197,-1.215181415124618,0.3134621621107689
BATT4a2_R0T_physical,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,,0.0,37360,0.9809374736577922,0.10008527582713245,0.9809374736577922,0.010893461097300793,0.010893461097300793,0.0,0.0,0.0,11.982592740110968,6.980685825600751,253.5414695739746,0.2697311854755963,0.3116126218338287
BATT4a2_R0T_physical,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,,0.0,37360,0.9899999993016378,0.11181460578635716,0.9899999993016378,0.025740344789296613,0.025740344789296613,0.0,0.0,0.0,12.481624539272685,7.1125586633242985,267.0340182987063,-6.081916201013654,0.3215245908833769
BATT4a2_R0T_physical,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,,0.0,37360,0.9727110925993573,0.09810928586897005,0.9727110925993573,0.07067874020544751,0.07067874020544751,0.0,0.0,0.0,30.990337785369427,20.907609752201044,328.4155102557671,-0.3921058004826028,0.48117033461237385
BATT4a2_R0T_physical,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,,0.0,37360,0.98,0.10636804492140428,0.98,0.12147634023036406,0.12147634023036406,0.0,0.0,0.0,76.81817399687968,55.00205438118771,385.5996232232788,-2.987257474409749,0.4498580418101323
BATT4a2_R0T_physical,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,,0.0,37360,0.98,0.10588108887532754,0.98,0.12147634023036406,0.12147634023036406,0.0,0.0,0.0,82.45156519147969,59.64967552412044,376.5690125711676,-8.45173722680007,0.47424446577245666
BATT4a2_R0T_physical,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,,0.0,37360,0.987880517521542,0.11042228314591163,0.987880517521542,0.0019057820140706075,0.0019057820140706075,0.0,0.0,0.0,14.91315745527789,9.854194515678214,224.39885139465332,-1.473968979638177,0.3954635203039496
BATT4a2_R0T_physical,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,,0.0,39460,0.98,0.15983632560968197,0.98,0.0019057820140706075,0.0019057820140706075,0.0,0.0,0.0,24.06134807798182,14.339160262208575,261.43831964685836,0.8656026704887543,0.5338626404379215
BATT4a2_R0T_physical,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,,0.0,47086,0.98,0.2143915247127619,0.98,0.0019057820140706075,0.0019057820140706075,0.0,0.0,0.0,436.5653478288773,243.46159645083506,1315.4671542133422,233.95348820370864,1.0955378846143384
BATT4c_R0T_qtau20s_no_intercept,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,20.0,0.014949254974321502,37360,0.98,0.10180357360222536,0.98,0.12147634023036406,0.12147634023036406,-0.004968004160387209,0.03728179006524128,6.2827906787678724,85.16683448637664,56.87190751131253,387.3988886684856,7.4962993354336955,0.4595922221405309
BATT4c_R0T_qtau20s_no_intercept,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,20.0,0.014949254974321502,39005,0.8728629614415837,0.02059492947572994,0.8728629614415837,0.18621058056917605,0.18621058056917605,-0.005050980285387812,0.03728257047573477,6.092634830611698,95.50738091262808,78.9898147713048,410.9955136382819,8.34022619347113,0.2716398209222441
BATT4c_R0T_qtau20s_no_intercept,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,20.0,0.014949254974321502,37360,0.98,0.10327855413367737,0.98,0.006854743244735878,0.006854743244735878,-0.00498585629213184,0.03726637239593327,6.28021358542657,13.43758983636102,9.875284694768181,241.07267976905166,-9.826143210467773,0.36535523206388404
BATT4c_R0T_qtau20s_no_intercept,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,20.0,0.014949254974321502,37360,0.9749747511731174,0.09384422383082491,0.9749747511731174,0.07067874020544751,0.07067874020544751,-0.004960097571408933,0.03729424125631199,6.29181460721194,27.829261675871376,18.30015044080575,334.5425666891937,-4.296052831450116,0.45050904963227684
BATT4c_R0T_qtau20s_no_intercept,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,20.0,0.014949254974321502,37360,0.98,0.1039873313569255,0.98,0.12147634023036406,0.12147634023036406,-0.004913294838120308,0.03727127993682107,6.279632277048053,74.36013318320045,51.382822923332085,387.29369810562275,-3.7650608654210194,0.4337839922558948
BATT4c_R0T_qtau20s_no_intercept,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,20.0,0.014949254974321502,37360,0.9817458453334182,0.10735806057075226,0.9817458453334182,0.03381778049442643,0.03381778049442643,-0.005392733847054564,0.03725960343705811,6.278125505058745,12.303196419378885,7.706862690925811,249.7063376889197,-4.361358714704573,0.3052015826818403
BATT4c_R0T_qtau20s_no_intercept,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,20.0,0.014949254974321502,37360,0.9809374736577922,0.10008527582713245,0.9809374736577922,0.010893461097300793,0.010893461097300793,-0.004970243127029246,0.03730218436700294,6.29512682341478,9.811192142512628,4.899901576074238,253.5414695739746,-2.902318081764995,0.25514438929479183
BATT4c_R0T_qtau20s_no_intercept,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,20.0,0.014949254974321502,37360,0.9899999993016378,0.11181460578635716,0.9899999993016378,0.025740344789296613,0.025740344789296613,-0.005069217147744114,0.037269190480205584,6.281813764346393,16.0719640078837,9.828960460733882,267.03450824908214,-9.237339523018397,0.4140111438272988
