model,curve,temperature_c,rmse_mv,max_abs_mv,n_points
linear_temperature_interpolation,discharge,-15,45.824853348640715,94.63298320770264,97
linear_temperature_interpolation,discharge,35,5.606828632564268,29.154894402558806,97
linear_temperature_interpolation,discharge,heldout_all,32.64470639888932,94.63298320770264,194
least_squares_polynomial_soc7_temp2,discharge,-15,48.37948791246311,100.90550700963962,97
least_squares_polynomial_soc7_temp2,discharge,35,17.49650826354635,50.07664467047235,97
least_squares_polynomial_soc7_temp2,discharge,heldout_all,36.37789611899312,100.90550700963962,194
linear_temperature_interpolation,charge,-15,7.174116593207637,16.826846039001975,97
linear_temperature_interpolation,charge,35,1.8741440045983542,6.690055303937736,97
linear_temperature_interpolation,charge,heldout_all,5.243108078368645,16.826846039001975,194
least_squares_polynomial_soc7_temp2,charge,-15,9.655985589923661,23.21030134578894,97
least_squares_polynomial_soc7_temp2,charge,35,8.439706858311279,30.528644365080293,97
least_squares_polynomial_soc7_temp2,charge,heldout_all,9.068260846684987,30.528644365080293,194
linear_temperature_interpolation,mean,-15,21.311905075010127,45.728116112528916,97
linear_temperature_interpolation,mean,35,2.31446441373341,11.57259298947988,97
linear_temperature_interpolation,mean,heldout_all,15.158397729454796,45.728116112528916,194
least_squares_polynomial_soc7_temp2,mean,-15,23.2010292914108,52.55968414984391,97
least_squares_polynomial_soc7_temp2,mean,35,10.609158848772339,36.74011094210172,97
least_squares_polynomial_soc7_temp2,mean,heldout_all,18.03942919910974,52.55968414984391,194
