model,threshold,feature,coefficient_ohm,active
BATT4a_R0_slot_STLSQ_dense,0.0,1,0.07485761303606189,True
BATT4a_R0_slot_STLSQ_dense,0.0,sc,-0.09155821099498275,True
BATT4a_R0_slot_STLSQ_dense,0.0,sc^2,0.021897324487931993,True
BATT4a_R0_slot_STLSQ_dense,0.0,Tn,-0.12109379398599673,True
BATT4a_R0_slot_STLSQ_dense,0.0,Tn^2,0.04323845321298661,True
BATT4a_R0_slot_STLSQ_dense,0.0,sc*Tn,0.0064084824217708536,True
BATT4a_R0_slot_STLSQ_dense,0.0,In,-0.043871006248298185,True
BATT4a_R0_slot_STLSQ_dense,0.0,sc*In,0.0714840977212492,True
BATT4a_R0_slot_STLSQ_dense,0.0,Tn*In,0.030308425710774953,True
BATT4a_R0_slot_STLSQ_dense,0.0,In^2,0.012642288934461642,True
BATT4a_R0_slot_STLSQ_t0.0001,0.0001,1,0.07485761303606189,True
BATT4a_R0_slot_STLSQ_t0.0001,0.0001,sc,-0.09155821099498275,True
BATT4a_R0_slot_STLSQ_t0.0001,0.0001,sc^2,0.021897324487931993,True
BATT4a_R0_slot_STLSQ_t0.0001,0.0001,Tn,-0.12109379398599673,True
BATT4a_R0_slot_STLSQ_t0.0001,0.0001,Tn^2,0.04323845321298661,True
BATT4a_R0_slot_STLSQ_t0.0001,0.0001,sc*Tn,0.0064084824217708536,True
BATT4a_R0_slot_STLSQ_t0.0001,0.0001,In,-0.043871006248298185,True
BATT4a_R0_slot_STLSQ_t0.0001,0.0001,sc*In,0.0714840977212492,True
BATT4a_R0_slot_STLSQ_t0.0001,0.0001,Tn*In,0.030308425710774953,True
BATT4a_R0_slot_STLSQ_t0.0001,0.0001,In^2,0.012642288934461642,True
BATT4a_R0_slot_STLSQ_t0.0005,0.0005,1,0.07485761303606189,True
BATT4a_R0_slot_STLSQ_t0.0005,0.0005,sc,-0.09155821099498275,True
BATT4a_R0_slot_STLSQ_t0.0005,0.0005,sc^2,0.021897324487931993,True
BATT4a_R0_slot_STLSQ_t0.0005,0.0005,Tn,-0.12109379398599673,True
BATT4a_R0_slot_STLSQ_t0.0005,0.0005,Tn^2,0.04323845321298661,True
BATT4a_R0_slot_STLSQ_t0.0005,0.0005,sc*Tn,0.0064084824217708536,True
BATT4a_R0_slot_STLSQ_t0.0005,0.0005,In,-0.043871006248298185,True
BATT4a_R0_slot_STLSQ_t0.0005,0.0005,sc*In,0.0714840977212492,True
BATT4a_R0_slot_STLSQ_t0.0005,0.0005,Tn*In,0.030308425710774953,True
BATT4a_R0_slot_STLSQ_t0.0005,0.0005,In^2,0.012642288934461642,True
BATT4a_R0_slot_STLSQ_t0.001,0.001,1,0.07485761303606189,True
BATT4a_R0_slot_STLSQ_t0.001,0.001,sc,-0.09155821099498275,True
BATT4a_R0_slot_STLSQ_t0.001,0.001,sc^2,0.021897324487931993,True
BATT4a_R0_slot_STLSQ_t0.001,0.001,Tn,-0.12109379398599673,True
BATT4a_R0_slot_STLSQ_t0.001,0.001,Tn^2,0.04323845321298661,True
BATT4a_R0_slot_STLSQ_t0.001,0.001,sc*Tn,0.0064084824217708536,True
BATT4a_R0_slot_STLSQ_t0.001,0.001,In,-0.043871006248298185,True
BATT4a_R0_slot_STLSQ_t0.001,0.001,sc*In,0.0714840977212492,True
BATT4a_R0_slot_STLSQ_t0.001,0.001,Tn*In,0.030308425710774953,True
BATT4a_R0_slot_STLSQ_t0.001,0.001,In^2,0.012642288934461642,True
BATT4a_R0_slot_STLSQ_t0.002,0.002,1,0.07485728672662008,True
BATT4a_R0_slot_STLSQ_t0.002,0.002,sc,-0.0915575923408069,True
BATT4a_R0_slot_STLSQ_t0.002,0.002,sc^2,0.021897018864421147,True
BATT4a_R0_slot_STLSQ_t0.002,0.002,Tn,-0.12109407941881983,True
BATT4a_R0_slot_STLSQ_t0.002,0.002,Tn^2,0.04323829943428168,True
BATT4a_R0_slot_STLSQ_t0.002,0.002,sc*Tn,0.006408744780750619,True
BATT4a_R0_slot_STLSQ_t0.002,0.002,In,-0.043870178799107803,True
BATT4a_R0_slot_STLSQ_t0.002,0.002,sc*In,0.07148360207788901,True
BATT4a_R0_slot_STLSQ_t0.002,0.002,Tn*In,0.030308731084378544,True
BATT4a_R0_slot_STLSQ_t0.002,0.002,In^2,0.012641901769016124,True
BATT4a_R0_slot_STLSQ_t0.005,0.005,1,0.07484021574298426,True
BATT4a_R0_slot_STLSQ_t0.005,0.005,sc,-0.09154036702719001,True
BATT4a_R0_slot_STLSQ_t0.005,0.005,sc^2,0.021806434547227065,True
BATT4a_R0_slot_STLSQ_t0.005,0.005,Tn,-0.1210720989950606,True
BATT4a_R0_slot_STLSQ_t0.005,0.005,Tn^2,0.04323665679965463,True
BATT4a_R0_slot_STLSQ_t0.005,0.005,sc*Tn,0.006383680282376215,True
BATT4a_R0_slot_STLSQ_t0.005,0.005,In,-0.04384536722844986,True
BATT4a_R0_slot_STLSQ_t0.005,0.005,sc*In,0.0714879413323413,True
BATT4a_R0_slot_STLSQ_t0.005,0.005,Tn*In,0.030295845392975224,True
BATT4a_R0_slot_STLSQ_t0.005,0.005,In^2,0.01263569576186899,True
BATT4a_R0_slot_STLSQ_t0.01,0.01,1,0.07491029150640238,True
BATT4a_R0_slot_STLSQ_t0.01,0.01,sc,-0.08969661625298758,True
BATT4a_R0_slot_STLSQ_t0.01,0.01,sc^2,0.02481566295595344,True
BATT4a_R0_slot_STLSQ_t0.01,0.01,Tn,-0.12303947013216944,True
BATT4a_R0_slot_STLSQ_t0.01,0.01,Tn^2,0.04356551120360588,True
BATT4a_R0_slot_STLSQ_t0.01,0.01,sc*Tn,0.0,False
BATT4a_R0_slot_STLSQ_t0.01,0.01,In,-0.04349738087096795,True
BATT4a_R0_slot_STLSQ_t0.01,0.01,sc*In,0.07213332821218199,True
BATT4a_R0_slot_STLSQ_t0.01,0.01,Tn*In,0.03262245129053795,True
BATT4a_R0_slot_STLSQ_t0.01,0.01,In^2,0.011691496913645091,True
