model,split,n_score,r0_min_ohm,r0_max_ohm,r0_negative_fraction,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
BATT3c_OCV_discharge_only,test_cell_transfer,47086,0.0,0.0,0.0,436.6435772917556,243.88625112359298,1319.0429218692973,234.23270696471732,1.0957341973558385
BATT3c_OCV_discharge_only,test_high_amplitude,39460,0.0,0.0,0.0,27.184160313577383,15.758196112735444,261.43831964685836,1.2238888393901661,0.6031502289921341
BATT3c_OCV_discharge_only,train,263165,0.0,0.0,0.0,59.88782414017522,30.009681786605164,490.4080055779376,7.72684359595277,0.2953963656977641
BATT3c_OCV_discharge_only,validation_temperature,186800,0.0,0.0,0.0,91.38858065613626,58.39846435657141,554.2883876815328,19.1407416168144,0.5428277603662349
BATT3c_constant_ecm,test_cell_transfer,47086,0.028098750611024906,0.028098750611024906,0.0,435.7990305199436,243.6041992792394,1286.7264768538835,227.5922895337066,1.0936148514470296
BATT3c_constant_ecm,test_high_amplitude,39460,0.028098750611024906,0.028098750611024906,0.0,35.15674271056976,19.555094427838277,199.74196578876933,-7.322716353200869,0.78004239130045
BATT3c_constant_ecm,train,263165,0.028098750611024906,0.028098750611024906,0.0,52.442672171675596,25.858187745120837,432.16758717531746,0.4869851337294436,0.2586731942495134
BATT3c_constant_ecm,validation_temperature,186800,0.028098750611024906,0.028098750611024906,0.0,79.30612770895797,52.233483250734345,445.4817489887657,9.538916939340881,0.4710606880913597
BATT3c_constant_ohmic,test_cell_transfer,47086,0.031193116517605556,0.031193116517605556,0.0,436.2182971136297,244.36958470037442,1283.262758340078,229.66256028385905,1.0946669790137746
BATT3c_constant_ohmic,test_high_amplitude,39460,0.031193116517605556,0.031193116517605556,0.0,41.62984728742219,22.89408601161979,273.56976105273924,-4.640403157634785,0.9236647972450087
BATT3c_constant_ohmic,train,263165,0.031193116517605556,0.031193116517605556,0.0,53.25813135645518,26.176342134967044,423.3825962570439,2.1310866087597895,0.26269544222758207
BATT3c_constant_ohmic,validation_temperature,186800,0.031193116517605556,0.031193116517605556,0.0,80.47388633937413,52.38010633439122,442.72574662536226,12.569714067155475,0.47799691357430335
BATT4a_R0_slot_STLSQ_dense,test_cell_transfer,47086,-0.0388244538900704,0.08753153629602191,0.4965594868963174,436.8409390673976,245.23039631123507,1308.5069854327228,231.57265108568436,1.096229466399215
BATT4a_R0_slot_STLSQ_dense,test_high_amplitude,39460,-0.0388244538900704,0.35871844421119226,0.5393056259503295,281.1028184877777,58.86084974829603,3515.4658716599074,-38.80972388072232,6.236986075179797
BATT4a_R0_slot_STLSQ_dense,train,263165,-0.039325188067810435,0.29103118481477036,0.15039233940683602,40.845833243857335,21.671998353930114,362.1736120785175,0.15217441343081736,0.20147184953474037
BATT4a_R0_slot_STLSQ_dense,validation_temperature,186800,-0.044522627775021945,0.2044966566300581,0.11447002141327624,69.9114980066268,45.55273610029806,412.30638950483245,-2.2756084786723503,0.4152586856510895
BATT4a_R0_slot_STLSQ_t0.0001,test_cell_transfer,47086,-0.0388244538900704,0.08753153629602191,0.4965594868963174,436.8409390673976,245.23039631123507,1308.5069854327228,231.57265108568436,1.096229466399215
BATT4a_R0_slot_STLSQ_t0.0001,test_high_amplitude,39460,-0.0388244538900704,0.35871844421119226,0.5393056259503295,281.1028184877777,58.86084974829603,3515.4658716599074,-38.80972388072232,6.236986075179797
BATT4a_R0_slot_STLSQ_t0.0001,train,263165,-0.039325188067810435,0.29103118481477036,0.15039233940683602,40.845833243857335,21.671998353930114,362.1736120785175,0.15217441343081736,0.20147184953474037
BATT4a_R0_slot_STLSQ_t0.0001,validation_temperature,186800,-0.044522627775021945,0.2044966566300581,0.11447002141327624,69.9114980066268,45.55273610029806,412.30638950483245,-2.2756084786723503,0.4152586856510895
BATT4a_R0_slot_STLSQ_t0.0005,test_cell_transfer,47086,-0.0388244538900704,0.08753153629602191,0.4965594868963174,436.8409390673976,245.23039631123507,1308.5069854327228,231.57265108568436,1.096229466399215
BATT4a_R0_slot_STLSQ_t0.0005,test_high_amplitude,39460,-0.0388244538900704,0.35871844421119226,0.5393056259503295,281.1028184877777,58.86084974829603,3515.4658716599074,-38.80972388072232,6.236986075179797
BATT4a_R0_slot_STLSQ_t0.0005,train,263165,-0.039325188067810435,0.29103118481477036,0.15039233940683602,40.845833243857335,21.671998353930114,362.1736120785175,0.15217441343081736,0.20147184953474037
BATT4a_R0_slot_STLSQ_t0.0005,validation_temperature,186800,-0.044522627775021945,0.2044966566300581,0.11447002141327624,69.9114980066268,45.55273610029806,412.30638950483245,-2.2756084786723503,0.4152586856510895
BATT4a_R0_slot_STLSQ_t0.001,test_cell_transfer,47086,-0.0388244538900704,0.08753153629602191,0.4965594868963174,436.8409390673976,245.23039631123507,1308.5069854327228,231.57265108568436,1.096229466399215
BATT4a_R0_slot_STLSQ_t0.001,test_high_amplitude,39460,-0.0388244538900704,0.35871844421119226,0.5393056259503295,281.1028184877777,58.86084974829603,3515.4658716599074,-38.80972388072232,6.236986075179797
BATT4a_R0_slot_STLSQ_t0.001,train,263165,-0.039325188067810435,0.29103118481477036,0.15039233940683602,40.845833243857335,21.671998353930114,362.1736120785175,0.15217441343081736,0.20147184953474037
BATT4a_R0_slot_STLSQ_t0.001,validation_temperature,186800,-0.044522627775021945,0.2044966566300581,0.11447002141327624,69.9114980066268,45.55273610029806,412.30638950483245,-2.2756084786723503,0.4152586856510895
BATT4a_R0_slot_STLSQ_t0.002,test_cell_transfer,47086,-0.03882486694038245,0.08753091482922491,0.4965594868963174,436.84093773562,245.23039662151592,1308.5074893662675,231.57268936902045,1.0962294630571887
BATT4a_R0_slot_STLSQ_t0.002,test_high_amplitude,39460,-0.03882486694038245,0.35871288679549396,0.5393056259503295,281.0977626500014,58.86001217861817,3515.409851162516,-38.80902153109287,6.236873898468164
BATT4a_R0_slot_STLSQ_t0.002,train,263165,-0.039325589933506905,0.2910307507107689,0.15039613930423879,40.84692905016989,21.670963381079293,362.1729422040447,0.1603844098200427,0.20147725459339602
BATT4a_R0_slot_STLSQ_t0.002,validation_temperature,186800,-0.044523252253095835,0.20449621437364207,0.11447537473233405,69.91149568496688,45.552736736042505,412.30625516289666,-2.2755681277236155,0.41525867186094806
BATT4a_R0_slot_STLSQ_t0.005,test_cell_transfer,47086,-0.038846233570251215,0.08751171472599423,0.49653824916110945,436.84074734616377,245.2296055864496,1308.505151789365,231.5733000512497,1.096228985284816
BATT4a_R0_slot_STLSQ_t0.005,test_high_amplitude,39460,-0.038846233570251215,0.3586106335204064,0.5393056259503295,280.99803144407593,58.842000649644085,3514.379106003034,-38.79409627240632,6.234661106202457
BATT4a_R0_slot_STLSQ_t0.005,train,263165,-0.03934745367700376,0.2909493404835914,0.1503809397146277,40.84542312579367,21.67170242518179,362.17663495768136,0.15184637555109556,0.2014698266296298
BATT4a_R0_slot_STLSQ_t0.005,validation_temperature,186800,-0.0445422160263908,0.20443819433628985,0.11444325481798716,69.91099622145879,45.55139971886439,412.2724970640128,-2.273385079792092,0.41525570515924926
BATT4a_R0_slot_STLSQ_t0.01,test_cell_transfer,47086,-0.04190051447854355,0.0858894378844398,0.500764558467485,436.8084605751362,245.24737653398952,1307.3437926522586,231.6757040267728,1.0961479633232507
BATT4a_R0_slot_STLSQ_t0.01,test_high_amplitude,39460,-0.04190051447854355,0.34648651793436197,0.5438165230613279,268.9779886814538,56.793719434012864,3392.164209290762,-37.06678500547252,5.967965668081833
BATT4a_R0_slot_STLSQ_t0.01,train,263165,-0.04336042398625636,0.29007324580231664,0.15832272528641728,40.84545718949707,21.723643541839532,367.85316584578663,0.1580102702437626,0.20146999464866086
BATT4a_R0_slot_STLSQ_t0.01,validation_temperature,186800,-0.04929341177594965,0.204026164120037,0.1191541755888651,69.93917532734551,45.65782792145272,411.57182726157384,-2.2493577512645877,0.4154230827553098
