feature_set,model,threshold,feature,coefficient_ohm,active
T_only,BATT4a_R0_slot_filtered_T_only_STLSQ_dense,0.0,1,0.05050618031070004,True
T_only,BATT4a_R0_slot_filtered_T_only_STLSQ_dense,0.0,Tn,-0.09215239927755273,True
T_only,BATT4a_R0_slot_filtered_T_only_STLSQ_dense,0.0,Tn^2,0.043552000980923294,True
T_only,BATT4a_R0_slot_filtered_T_only_STLSQ_t0.01,0.01,1,0.05050618031070004,True
T_only,BATT4a_R0_slot_filtered_T_only_STLSQ_t0.01,0.01,Tn,-0.09215239927755273,True
T_only,BATT4a_R0_slot_filtered_T_only_STLSQ_t0.01,0.01,Tn^2,0.043552000980923294,True
T_only,BATT4a_R0_slot_filtered_T_only_STLSQ_t0.05,0.05,1,0.0,False
T_only,BATT4a_R0_slot_filtered_T_only_STLSQ_t0.05,0.05,Tn,0.0,False
T_only,BATT4a_R0_slot_filtered_T_only_STLSQ_t0.05,0.05,Tn^2,0.0,False
T_only,BATT4a_R0_slot_filtered_T_only_STLSQ_t0.1,0.1,1,0.0,False
T_only,BATT4a_R0_slot_filtered_T_only_STLSQ_t0.1,0.1,Tn,0.0,False
T_only,BATT4a_R0_slot_filtered_T_only_STLSQ_t0.1,0.1,Tn^2,0.0,False
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,0.0,1,0.05160828025475024,True
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,0.0,sc,-0.03885012198769086,True
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,0.0,sc^2,0.038858311135674534,True
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,0.0,Tn,-0.09345664935823869,True
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,0.0,Tn^2,0.04187460130181853,True
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,0.0,sc*Tn,0.03320902334871565,True
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,0.01,1,0.05160828025475024,True
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,0.01,sc,-0.03885012198769086,True
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,0.01,sc^2,0.038858311135674534,True
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,0.01,Tn,-0.09345664935823869,True
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,0.01,Tn^2,0.04187460130181853,True
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,0.01,sc*Tn,0.03320902334871565,True
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,0.05,1,0.0,False
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,0.05,sc,0.0,False
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,0.05,sc^2,0.0,False
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,0.05,Tn,0.0,False
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,0.05,Tn^2,0.0,False
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,0.05,sc*Tn,0.0,False
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,0.1,1,0.0,False
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,0.1,sc,0.0,False
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,0.1,sc^2,0.0,False
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,0.1,Tn,0.0,False
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,0.1,Tn^2,0.0,False
T_SOC,BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,0.1,sc*Tn,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,0.0,1,0.05398650051401172,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,0.0,sc,-0.03748920816633901,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,0.0,sc^2,0.04204383751110133,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,0.0,Tn,-0.09315031451651694,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,0.0,Tn^2,0.041735555387400744,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,0.0,sc*Tn,0.03269472396058145,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,0.0,In,-0.0026957534698880932,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,0.01,1,0.05160828025475024,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,0.01,sc,-0.03885012198769086,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,0.01,sc^2,0.038858311135674534,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,0.01,Tn,-0.09345664935823869,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,0.01,Tn^2,0.04187460130181853,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,0.01,sc*Tn,0.03320902334871565,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,0.01,In,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,0.05,1,0.07173670803703497,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,0.05,sc,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,0.05,sc^2,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,0.05,Tn,-0.0572473504305356,True
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,0.05,Tn^2,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,0.05,sc*Tn,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,0.05,In,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,0.1,1,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,0.1,sc,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,0.1,sc^2,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,0.1,Tn,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,0.1,Tn^2,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,0.1,sc*Tn,0.0,False
T_SOC_Ilinear,BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,0.1,In,0.0,False
T_SOC_Isat,BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,0.0,1,0.07190044961605663,True
T_SOC_Isat,BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,0.0,sc,-0.13203485816792637,True
T_SOC_Isat,BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,0.0,sc^2,-0.003293188785998243,True
T_SOC_Isat,BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,0.0,Tn,-0.13117519809908487,True
T_SOC_Isat,BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,0.0,Tn^2,0.04281757589214266,True
T_SOC_Isat,BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,0.0,sc*Tn,0.00738628245609278,True
T_SOC_Isat,BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,0.0,Isat,-0.02858961931930878,True
T_SOC_Isat,BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,0.0,sc*Isat,0.13144884025371265,True
T_SOC_Isat,BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,0.0,Tn*Isat,0.04898963327904408,True
