model,baseline_model,split,baseline_rmse_mv,model_rmse_mv,improvement_percent
BATT3c_OCV_discharge_only,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.6435772917556,-0.19379271468419906
BATT3c_OCV_discharge_only,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,27.184160313577383,22.677249888100256
BATT3c_OCV_discharge_only,BATT3c_constant_ecm,train,52.442672171675596,59.88782414017522,-14.196744102068784
BATT3c_OCV_discharge_only,BATT3c_constant_ecm,validation_temperature,79.30612770895797,91.38858065613626,-15.235207286275708
BATT3c_constant_ohmic,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.2182971136297,-0.09620640807436233
BATT3c_constant_ohmic,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,41.62984728742219,-18.412128308195943
BATT3c_constant_ohmic,BATT3c_constant_ecm,train,52.442672171675596,53.25813135645518,-1.5549535349955252
BATT3c_constant_ohmic,BATT3c_constant_ecm,validation_temperature,79.30612770895797,80.47388633937413,-1.472469611303763
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.6194196115538,-0.18824940721676336
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,35.73270768406189,-1.6382774087855754
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,BATT3c_constant_ecm,train,52.442672171675596,41.52216157125004,20.82371120349537
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,BATT3c_constant_ecm,validation_temperature,79.30612770895797,71.29993316014468,10.095303830991314
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.54380208576265,-0.17089794002765257
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,24.644900399449835,29.89993241882324
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,BATT3c_constant_ecm,train,52.442672171675596,41.53040975207831,20.80798320855019
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,BATT3c_constant_ecm,validation_temperature,79.30612770895797,71.47443294001609,9.875270669730686
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.2193466339298,-0.09644723474596027
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,15.60285242857589,55.619175083916566
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,BATT3c_constant_ecm,train,52.442672171675596,45.416740657363185,13.397356052552816
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,BATT3c_constant_ecm,validation_temperature,79.30612770895797,70.41250301861105,11.214296987220512
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.6435772917556,-0.19379271468419906
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,27.184160313577383,22.677249888100256
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,BATT3c_constant_ecm,train,52.442672171675596,59.88783607918824,-14.196766867905318
