model,split,n_score,r0_min_ohm,r0_max_ohm,r0_negative_fraction,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
BATT3c_OCV_discharge_only,test_cell_transfer,47086,0.0,0.0,0.0,436.6435772917556,243.88625112359298,1319.0429218692973,234.23270696471732,1.0957341973558385
BATT3c_OCV_discharge_only,test_high_amplitude,39460,0.0,0.0,0.0,27.184160313577383,15.758196112735444,261.43831964685836,1.2238888393901661,0.6031502289921341
BATT3c_OCV_discharge_only,train,263165,0.0,0.0,0.0,59.88782414017522,30.009681786605164,490.4080055779376,7.72684359595277,0.2953963656977641
BATT3c_OCV_discharge_only,validation_temperature,186800,0.0,0.0,0.0,91.38858065613626,58.39846435657141,554.2883876815328,19.1407416168144,0.5428277603662349
BATT3c_constant_ecm,test_cell_transfer,47086,0.028098750611024906,0.028098750611024906,0.0,435.7990305199436,243.6041992792394,1286.7264768538835,227.5922895337066,1.0936148514470296
BATT3c_constant_ecm,test_high_amplitude,39460,0.028098750611024906,0.028098750611024906,0.0,35.15674271056976,19.555094427838277,199.74196578876933,-7.322716353200869,0.78004239130045
BATT3c_constant_ecm,train,263165,0.028098750611024906,0.028098750611024906,0.0,52.442672171675596,25.858187745120837,432.16758717531746,0.4869851337294436,0.2586731942495134
BATT3c_constant_ecm,validation_temperature,186800,0.028098750611024906,0.028098750611024906,0.0,79.30612770895797,52.233483250734345,445.4817489887657,9.538916939340881,0.4710606880913597
BATT3c_constant_ohmic,test_cell_transfer,47086,0.031193116517605556,0.031193116517605556,0.0,436.2182971136297,244.36958470037442,1283.262758340078,229.66256028385905,1.0946669790137746
BATT3c_constant_ohmic,test_high_amplitude,39460,0.031193116517605556,0.031193116517605556,0.0,41.62984728742219,22.89408601161979,273.56976105273924,-4.640403157634785,0.9236647972450087
BATT3c_constant_ohmic,train,263165,0.031193116517605556,0.031193116517605556,0.0,53.25813135645518,26.176342134967044,423.3825962570439,2.1310866087597895,0.26269544222758207
BATT3c_constant_ohmic,validation_temperature,186800,0.031193116517605556,0.031193116517605556,0.0,80.47388633937413,52.38010633439122,442.72574662536226,12.569714067155475,0.47799691357430335
BATT4a_R0_slot_filtered_T_only_STLSQ_dense,test_cell_transfer,47086,0.0019057820140706075,0.0019057820140706075,0.0,436.5653478288773,243.46159645083506,1315.4671542133422,233.95348820370864,1.0955378846143384
BATT4a_R0_slot_filtered_T_only_STLSQ_dense,test_high_amplitude,39460,0.0019057820140706075,0.0019057820140706075,0.0,24.06134807798182,14.339160262208575,261.43831964685836,0.8656026704887543,0.5338626404379215
BATT4a_R0_slot_filtered_T_only_STLSQ_dense,train,263165,0.0019057820140706075,0.18621058056917605,0.0,41.513438621810174,22.01664425671081,411.30221610218246,-0.23221837863387232,0.20476480941763675
BATT4a_R0_slot_filtered_T_only_STLSQ_dense,validation_temperature,186800,0.006854743244735878,0.12147634023036406,0.0,71.83994372929314,46.220054211666046,395.9737558138752,-1.6142531221209424,0.4267132225867447
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.01,test_cell_transfer,47086,0.0019057820140706075,0.0019057820140706075,0.0,436.5653478288773,243.46159645083506,1315.4671542133422,233.95348820370864,1.0955378846143384
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.01,test_high_amplitude,39460,0.0019057820140706075,0.0019057820140706075,0.0,24.06134807798182,14.339160262208575,261.43831964685836,0.8656026704887543,0.5338626404379215
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.01,train,263165,0.0019057820140706075,0.18621058056917605,0.0,41.513438621810174,22.01664425671081,411.30221610218246,-0.23221837863387232,0.20476480941763675
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.01,validation_temperature,186800,0.006854743244735878,0.12147634023036406,0.0,71.83994372929314,46.220054211666046,395.9737558138752,-1.6142531221209424,0.4267132225867447
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.05,test_cell_transfer,47086,0.0,0.0,0.0,436.6435772917556,243.88625112359298,1319.0429218692973,234.23270696471732,1.0957341973558385
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.05,test_high_amplitude,39460,0.0,0.0,0.0,27.184160313577383,15.758196112735444,261.43831964685836,1.2238888393901661,0.6031502289921341
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.05,train,263165,0.0,0.0,0.0,59.88783607918824,30.00968561400698,490.4080055661355,7.726892516156859,0.2953964245868807
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.05,validation_temperature,186800,0.0,0.0,0.0,91.38858065613626,58.39846435657141,554.2883876815328,19.1407416168144,0.5428277603662349
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.1,test_cell_transfer,47086,0.0,0.0,0.0,436.6435772917556,243.88625112359298,1319.0429218692973,234.23270696471732,1.0957341973558385
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.1,test_high_amplitude,39460,0.0,0.0,0.0,27.184160313577383,15.758196112735444,261.43831964685836,1.2238888393901661,0.6031502289921341
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.1,train,263165,0.0,0.0,0.0,59.88783607918824,30.00968561400698,490.4080055661355,7.726892516156859,0.2953964245868807
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.1,validation_temperature,186800,0.0,0.0,0.0,91.38858065613626,58.39846435657141,554.2883876815328,19.1407416168144,0.5428277603662349
BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,test_cell_transfer,47086,-0.00017849860229021686,0.006271459737281389,0.1418468334536805,436.54380208576265,243.6494423768447,1312.2832645982207,233.97489769329775,1.0954838166999892
BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,test_high_amplitude,39460,-0.00017849873850354914,0.0064414757222943445,0.16974151039026864,24.644900399449835,14.551870264355914,261.43831964685836,0.84809343476984,0.5468102434634426
BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,train,263165,-0.00017849873836688762,0.2303117238048875,0.02920981133509395,41.53040975207831,21.717192201895706,359.8243400930965,0.6411659736168752,0.20484851942505425
BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,validation_temperature,186800,0.0024674144594093866,0.15232272385562562,0.0,71.47443294001609,45.43723706981017,410.78805582138455,-1.7924294494176605,0.42454217012364204
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,test_cell_transfer,47086,-0.00017849860229021686,0.006271459737281389,0.1418468334536805,436.54380208576265,243.6494423768447,1312.2832645982207,233.97489769329775,1.0954838166999892
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,test_high_amplitude,39460,-0.00017849873850354914,0.0064414757222943445,0.16974151039026864,24.644900399449835,14.551870264355914,261.43831964685836,0.84809343476984,0.5468102434634426
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,train,263165,-0.00017849873836688762,0.2303117238048875,0.02920981133509395,41.53040975207831,21.717192201895706,359.8243400930965,0.6411659736168752,0.20484851942505425
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,validation_temperature,186800,0.0024674144594093866,0.15232272385562562,0.0,71.47443294001609,45.43723706981017,410.78805582138455,-1.7924294494176605,0.42454217012364204
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,test_cell_transfer,47086,0.0,0.0,0.0,436.6435772917556,243.88625112359298,1319.0429218692973,234.23270696471732,1.0957341973558385
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,test_high_amplitude,39460,0.0,0.0,0.0,27.184160313577383,15.758196112735444,261.43831964685836,1.2238888393901661,0.6031502289921341
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,train,263165,0.0,0.0,0.0,59.88783607918824,30.00968561400698,490.4080055661355,7.726892516156859,0.2953964245868807
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,validation_temperature,186800,0.0,0.0,0.0,91.38858065613626,58.39846435657141,554.2883876815328,19.1407416168144,0.5428277603662349
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,test_cell_transfer,47086,0.0,0.0,0.0,436.6435772917556,243.88625112359298,1319.0429218692973,234.23270696471732,1.0957341973558385
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,test_high_amplitude,39460,0.0,0.0,0.0,27.184160313577383,15.758196112735444,261.43831964685836,1.2238888393901661,0.6031502289921341
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,train,263165,0.0,0.0,0.0,59.88783607918824,30.00968561400698,490.4080055661355,7.726892516156859,0.2953964245868807
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,validation_temperature,186800,0.0,0.0,0.0,91.38858065613626,58.39846435657141,554.2883876815328,19.1407416168144,0.5428277603662349
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,test_cell_transfer,47086,-0.004553416904321532,0.00995728912868965,0.032472497132905745,436.6194196115538,243.9425385803413,1311.4886165316082,234.17806889478751,1.0956735749221131
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,test_high_amplitude,39460,-0.011205413246426519,0.00995728912868965,0.10562595032944753,35.73270768406189,17.779014811389093,261.43831964685836,2.778566657376406,0.792821649576076
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,train,263165,-0.003217749956452985,0.23207527717984855,0.003822696787186746,41.52216157125004,21.752412088501615,359.25887620163354,0.5780614034545819,0.20480783531813815
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_dense,validation_temperature,186800,0.0019655525721348766,0.15429956459492697,0.0,71.29993316014468,45.42618957305529,410.3133338722369,-1.857750583001206,0.42350568040017855
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,test_cell_transfer,47086,-0.00017849860229021686,0.006271459737281389,0.1418468334536805,436.54380208576265,243.6494423768447,1312.2832645982207,233.97489769329775,1.0954838166999892
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,test_high_amplitude,39460,-0.00017849873850354914,0.0064414757222943445,0.16974151039026864,24.644900399449835,14.551870264355914,261.43831964685836,0.84809343476984,0.5468102434634426
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,train,263165,-0.00017849873836688762,0.2303117238048875,0.02920981133509395,41.53040975207831,21.717192201895706,359.8243400930965,0.6411659736168752,0.20484851942505425
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.01,validation_temperature,186800,0.0024674144594093866,0.15232272385562562,0.0,71.47443294001609,45.43723706981017,410.78805582138455,-1.7924294494176605,0.42454217012364204
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,test_cell_transfer,47086,0.014489357606499366,0.014489357606499366,0.0,436.2193466339298,241.76398048980573,1301.6302360796417,232.10985112452775,1.0946696127300213
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,test_high_amplitude,39460,0.014489357606499366,0.014489357606499366,0.0,15.60285242857589,10.059268213646511,261.43831964685836,-1.5001039301642636,0.34618924795428313
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,train,263165,-0.03130852273792911,0.12898405846757058,0.14196416696749187,45.416740657363185,24.95210815237665,361.60565410747483,0.07058692573871937,0.22401782540339452
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.05,validation_temperature,186800,-0.008409582565714877,0.10608511829535633,0.2,70.41250301861105,44.6008640751687,398.52564159062706,1.6226527475354928,0.41823454353875006
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,test_cell_transfer,47086,0.0,0.0,0.0,436.6435772917556,243.88625112359298,1319.0429218692973,234.23270696471732,1.0957341973558385
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,test_high_amplitude,39460,0.0,0.0,0.0,27.184160313577383,15.758196112735444,261.43831964685836,1.2238888393901661,0.6031502289921341
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,train,263165,0.0,0.0,0.0,59.88783607918824,30.00968561400698,490.4080055661355,7.726892516156859,0.2953964245868807
BATT4a_R0_slot_filtered_T_SOC_Ilinear_STLSQ_t0.1,validation_temperature,186800,0.0,0.0,0.0,91.38858065613626,58.39846435657141,554.2883876815328,19.1407416168144,0.5428277603662349
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,test_cell_transfer,47086,-0.0770472396288597,0.01886375371403151,0.5375058403771822,436.51033062609264,243.90572846195897,1312.0244794196415,234.89304145506648,1.0953998218242982
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,test_high_amplitude,39460,-0.0770472396288597,0.025514235936653803,0.591409021794222,22.527393962478456,14.148412721330105,261.43831964685836,0.58890541772877,0.49982793915023177
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,train,263165,-0.08406603799240228,0.31179747421890786,0.21349723557463948,40.780417934297795,21.925466545160674,358.33724928991194,0.28316027691665707,0.20114918887738112
