model,term,dx1_coefficient,dx2_coefficient,active
B1_full_sindy,1,0,0,False
B2_free_residual_sindy,1,0,0,False
B1_full_sindy,x1,0,-1,True
B2_free_residual_sindy,x1,0,0,False
B1_full_sindy,x2,1,2.000000000000005,True
B2_free_residual_sindy,x2,0,1.975098943268583,True
B1_full_sindy,x1^2,0,0,False
B2_free_residual_sindy,x1^2,0,0,False
B1_full_sindy,x1*x2,0,0,False
B2_free_residual_sindy,x1*x2,0,0,False
B1_full_sindy,x2^2,0,0,False
B2_free_residual_sindy,x2^2,0,0,False
B1_full_sindy,x1^3,0,0,False
B2_free_residual_sindy,x1^3,0,0,False
B1_full_sindy,x1^2*x2,0,-2,True
B2_free_residual_sindy,x1^2*x2,0,-2,True
B1_full_sindy,x1*x2^2,0,0,False
B2_free_residual_sindy,x1*x2^2,0,0,False
B1_full_sindy,x2^3,0,0,False
B2_free_residual_sindy,x2^3,0,0,False
B3_slot_constrained_pc,x1^0,,1.999999999999997,True
B3_slot_constrained_pc,x1^1,,0,False
B3_slot_constrained_pc,x1^2,,-2,True
B3_slot_constrained_pc,x1^3,,0,False
B3_slot_constrained_pc,x1^4,,0,False
