trajectory_id,split,mu,x0,model,nrmse_all,nrmse_x1,nrmse_x2
train_mu0.5_ic0,train,0.5,"[0.0, 1.0]",B0_constant_coefficient,0.3889006102698997,0.3758999449171806,0.4019041123121065
train_mu0.5_ic0,train,0.5,"[0.0, 1.0]",B3_slot_constrained,3.539190773638377e-15,3.252578388648245e-15,3.805762285505544e-15
train_mu0.5_ic0,train,0.5,"[0.0, 1.0]",B4_oracle_reference,0,0,0
train_mu0.5_ic1,train,0.5,"[1.0, 0.0]",B0_constant_coefficient,0.3758153036606863,0.3671122070603895,0.3844196228258658
train_mu0.5_ic1,train,0.5,"[1.0, 0.0]",B3_slot_constrained,2.972810162497778e-13,8.146792971764308e-14,4.127652258801516e-13
train_mu0.5_ic1,train,0.5,"[1.0, 0.0]",B4_oracle_reference,0,0,0
train_mu0.5_ic2,train,0.5,"[-2.0, 1.0]",B0_constant_coefficient,0.6895862481153958,0.672428137334201,0.7061344100435706
train_mu0.5_ic2,train,0.5,"[-2.0, 1.0]",B3_slot_constrained,2.522469546745418e-15,2.416269402282287e-15,2.623136423006035e-15
train_mu0.5_ic2,train,0.5,"[-2.0, 1.0]",B4_oracle_reference,0,0,0
train_mu0.5_ic3,train,0.5,"[2.0, 0.0]",B0_constant_coefficient,0.60183663670905,0.5736772161105417,0.6301595711446196
train_mu0.5_ic3,train,0.5,"[2.0, 0.0]",B3_slot_constrained,1.061195749757498e-13,2.732532956798797e-14,1.492493439728411e-13
train_mu0.5_ic3,train,0.5,"[2.0, 0.0]",B4_oracle_reference,0,0,0
train_mu1_ic0,train,1,"[0.0, 1.0]",B0_constant_coefficient,0.7332612177320155,0.7394610479358232,0.728508877897237
train_mu1_ic0,train,1,"[0.0, 1.0]",B3_slot_constrained,1.284075705885668e-14,1.094848702084126e-14,1.447064488852191e-14
train_mu1_ic0,train,1,"[0.0, 1.0]",B4_oracle_reference,0,0,0
train_mu1_ic1,train,1,"[1.0, 0.0]",B0_constant_coefficient,0.6469698600798374,0.6203571443339254,0.6729234606514152
train_mu1_ic1,train,1,"[1.0, 0.0]",B3_slot_constrained,5.346580692501964e-14,1.327166633993687e-14,7.46745854939714e-14
train_mu1_ic1,train,1,"[1.0, 0.0]",B4_oracle_reference,0,0,0
train_mu1_ic2,train,1,"[-2.0, 1.0]",B0_constant_coefficient,1.48491383885791,1.456265704611054,1.515129355604997
train_mu1_ic2,train,1,"[-2.0, 1.0]",B3_slot_constrained,8.681276757934555e-15,7.041933752970192e-15,1.007554715682258e-14
train_mu1_ic2,train,1,"[-2.0, 1.0]",B4_oracle_reference,0,0,0
train_mu1_ic3,train,1,"[2.0, 0.0]",B0_constant_coefficient,1.400395791787819,1.370363535665059,1.435329494538603
train_mu1_ic3,train,1,"[2.0, 0.0]",B3_slot_constrained,1.073284825376748e-14,7.897716813250489e-15,1.301520434316838e-14
train_mu1_ic3,train,1,"[2.0, 0.0]",B4_oracle_reference,0,0,0
train_mu2_ic0,train,2,"[0.0, 1.0]",B0_constant_coefficient,1.242790869493344,1.245245229376741,1.240730278105696
train_mu2_ic0,train,2,"[0.0, 1.0]",B3_slot_constrained,3.989449676089894e-14,2.400900273679519e-14,5.107470166998299e-14
train_mu2_ic0,train,2,"[0.0, 1.0]",B4_oracle_reference,0,0,0
train_mu2_ic1,train,2,"[1.0, 0.0]",B0_constant_coefficient,1.231893342143389,1.247686352664477,1.216166815661623
train_mu2_ic1,train,2,"[1.0, 0.0]",B3_slot_constrained,1.518809682607983e-13,1.688521110011914e-14,2.137610884562024e-13
train_mu2_ic1,train,2,"[1.0, 0.0]",B4_oracle_reference,0,0,0
train_mu2_ic2,train,2,"[-2.0, 1.0]",B0_constant_coefficient,1.789750606853998,1.814330361519936,1.765785286370034
train_mu2_ic2,train,2,"[-2.0, 1.0]",B3_slot_constrained,2.894902353454472e-14,1.707466417019653e-14,3.6995055920572e-14
train_mu2_ic2,train,2,"[-2.0, 1.0]",B4_oracle_reference,0,0,0
