noise_level,seed,feature,b3_coefficient,expected_coefficient,abs_error,active
0,0,1,0,0,0,False
0,0,x1,0,0,0,False
0,0,x1^2,0,0,0,False
0,0,mu,0.9999999999999983,1,1.665334536937735e-15,True
0,0,mu*x1,0,0,0,False
0,0,mu*x1^2,-0.9999999999999989,-1,1.110223024625157e-15,True
0.005,0,1,0.001999756093422535,0,0.001999756093422535,True
0.005,0,x1,0.001690306804641038,0,0.001690306804641038,True
0.005,0,x1^2,-0.001002285151647722,0,0.001002285151647722,True
0.005,0,mu,0.9980375307752491,1,0.001962469224750851,True
0.005,0,mu*x1,-0.001354309173957123,0,0.001354309173957123,True
0.005,0,mu*x1^2,-0.9983966247474816,-1,0.001603375252518413,True
0.01,0,1,0.003998821011723517,0,0.003998821011723517,True
0.01,0,x1,0.003349613931843972,0,0.003349613931843972,True
0.01,0,x1^2,-0.001994870944765356,0,0.001994870944765356,True
0.01,0,mu,0.9956812567444819,1,0.004318743255518065,True
0.01,0,mu*x1,-0.002677191574616134,0,0.002677191574616134,True
0.01,0,mu*x1^2,-0.9962382028704744,-1,0.003761797129525624,True
0.03,0,1,0.01185895754044013,0,0.01185895754044013,True
0.03,0,x1,0.009598428085393799,0,0.009598428085393799,True
0.03,0,x1^2,-0.00575614785137802,0,0.00575614785137802,True
0.03,0,mu,0.9824799560000486,1,0.01752004399995144,True
0.03,0,mu*x1,-0.007591308904167818,0,0.007591308904167818,True
0.03,0,mu*x1^2,-0.982243373446717,-1,0.01775662655328303,True
0.05,0,1,0.01920473220211214,0,0.01920473220211214,True
0.05,0,x1,0.01506365413226434,0,0.01506365413226434,True
0.05,0,x1^2,-0.008934504038180429,0,0.008934504038180429,True
0.05,0,mu,0.96371581066737,1,0.03628418933263,True
0.05,0,mu*x1,-0.01177417042593596,0,0.01177417042593596,True
0.05,0,mu*x1^2,-0.9602753740509327,-1,0.03972462594906734,True
