noise_level,seed,model,term,dx1_coefficient,dx2_coefficient
0,0,B1_full_sindy,x1,0,-1
0,0,B2_free_residual_sindy,x1,0,0
0,0,B1_full_sindy,x2,0.9999999999999997,0
0,0,B2_free_residual_sindy,x2,0,-0.01615448181529004
0,0,B1_full_sindy,x2*mu,0,0.9999999999999943
0,0,B2_free_residual_sindy,x2*mu,0,0.9999999999999999
0,0,B1_full_sindy,x1^2*x2*mu,0,-0.999999999999998
0,0,B2_free_residual_sindy,x1^2*x2*mu,0,-0.9999999999999989
0.005,0,B1_full_sindy,1,0,0
0.005,0,B2_free_residual_sindy,1,0.00070579127697802,0
0.005,0,B1_full_sindy,x1,0,-0.9996040862643698
0.005,0,B2_free_residual_sindy,x1,-0.0007100972530934654,0
0.005,0,B1_full_sindy,x2,0.9999354617725361,0
0.005,0,B2_free_residual_sindy,x2,0.000298402522188648,-0.01409443258324959
0.005,0,B1_full_sindy,mu,0,0
0.005,0,B2_free_residual_sindy,mu,-0.0003549121909569219,0
0.005,0,B1_full_sindy,x1^2,0,0
0.005,0,B2_free_residual_sindy,x1^2,-0.0008201070175825452,0
0.005,0,B1_full_sindy,x1*x2,0,-0.001059263751597511
0.005,0,B2_free_residual_sindy,x1*x2,8.424670757282412e-05,-0.001053962413623761
0.005,0,B1_full_sindy,x1*mu,0,0
0.005,0,B2_free_residual_sindy,x1*mu,-0.0006394980519812284,0
0.005,0,B1_full_sindy,x2^2,0,0
0.005,0,B2_free_residual_sindy,x2^2,-0.000163496620385858,0
0.005,0,B1_full_sindy,x2*mu,0,0.9987041543331002
0.005,0,B2_free_residual_sindy,x2*mu,0.0006892264184733349,0.9980218345218959
0.005,0,B1_full_sindy,mu^2,0,0
0.005,0,B2_free_residual_sindy,mu^2,-0.0003770529264691035,0
0.005,0,B1_full_sindy,x1^3,0,0
0.005,0,B2_free_residual_sindy,x1^3,0.0002272307766569493,0
0.005,0,B1_full_sindy,x1^2*x2,0,0
0.005,0,B2_free_residual_sindy,x1^2*x2,-0.0002539315859039305,-0.001004330357432518
0.005,0,B1_full_sindy,x1^2*mu,0,0
0.005,0,B2_free_residual_sindy,x1^2*mu,0.000362536830223585,0
0.005,0,B1_full_sindy,x1*x2^2,0,0
0.005,0,B2_free_residual_sindy,x1*x2^2,0.0004294163416677601,0
0.005,0,B1_full_sindy,x1*x2*mu,0,0
0.005,0,B2_free_residual_sindy,x1*x2*mu,-0.0001212405030104578,0
0.005,0,B1_full_sindy,x1*mu^2,0,0
0.005,0,B2_free_residual_sindy,x1*mu^2,0.0005404120954436763,0
0.005,0,B1_full_sindy,x2^3,0,0
0.005,0,B2_free_residual_sindy,x2^3,-0.0001992867708234656,0
0.005,0,B1_full_sindy,x2^2*mu,0,0
0.005,0,B2_free_residual_sindy,x2^2*mu,0.0001415547456246695,0
0.005,0,B1_full_sindy,x2*mu^2,0,0
0.005,0,B2_free_residual_sindy,x2*mu^2,-0.0003178081214175228,0
0.005,0,B1_full_sindy,mu^3,0,0
0.005,0,B2_free_residual_sindy,mu^3,0.0002033500315228876,0
0.005,0,B1_full_sindy,x1^4,0,0
0.005,0,B2_free_residual_sindy,x1^4,0.0001282294675045034,0
0.005,0,B1_full_sindy,x1^3*x2,0,0
0.005,0,B2_free_residual_sindy,x1^3*x2,-7.033556700077254e-05,0
0.005,0,B1_full_sindy,x1^3*mu,0,0
0.005,0,B2_free_residual_sindy,x1^3*mu,-5.131352865147978e-05,0
0.005,0,B1_full_sindy,x1^2*x2^2,0,0
0.005,0,B2_free_residual_sindy,x1^2*x2^2,0.0001551877237661523,0
0.005,0,B1_full_sindy,x1^2*x2*mu,0,-0.9987358617269795
0.005,0,B2_free_residual_sindy,x1^2*x2*mu,-0.0001074609214852037,-0.9983938826651315
0.005,0,B1_full_sindy,x1^2*mu^2,0,0
0.005,0,B2_free_residual_sindy,x1^2*mu^2,-7.723981095684359e-05,0
