noise_level,seed,c0,b3_coefficient_grid_nrmse,b3_support_precision,b3_support_recall,b1_active_terms,b2_active_terms,b3_active_terms,interp_b1_vector_field_nrmse,interp_b2_vector_field_nrmse,interp_b3_vector_field_nrmse,extrap_b1_vector_field_nrmse,extrap_b2_vector_field_nrmse,extrap_b3_vector_field_nrmse,interp_b0_rollout_nrmse,interp_b3_rollout_nrmse,extrap_b0_rollout_nrmse,extrap_b3_rollout_nrmse,rollout_failures
0,0,0.0161544818152893,1.203330071918378e-15,1,1,4,3,2,3.648691570733714e-15,1.137492680402311e-15,1.049652419571401e-15,4.100870636681753e-15,1.321381713365918e-15,1.203675183417103e-15,1.004791361276888,5.273665642195072e-07,1.060673781641039,1.028202256411167e-06,0
0,1,0.0161544818152893,1.203330071918378e-15,1,1,4,3,2,3.648691570733714e-15,1.137492680402311e-15,1.049652419571401e-15,4.100870636681753e-15,1.321381713365918e-15,1.203675183417103e-15,1.004791361276888,5.273665642195072e-07,1.060673781641039,1.028202256411167e-06,0
0,2,0.0161544818152893,1.203330071918378e-15,1,1,4,3,2,3.648691570733714e-15,1.137492680402311e-15,1.049652419571401e-15,4.100870636681753e-15,1.321381713365918e-15,1.203675183417103e-15,1.004791361276888,5.273665642195072e-07,1.060673781641039,1.028202256411167e-06,0
0,3,0.0161544818152893,1.203330071918378e-15,1,1,4,3,2,3.648691570733714e-15,1.137492680402311e-15,1.049652419571401e-15,4.100870636681753e-15,1.321381713365918e-15,1.203675183417103e-15,1.004791361276888,5.273665642195072e-07,1.060673781641039,1.028202256411167e-06,0
0,4,0.0161544818152893,1.203330071918378e-15,1,1,4,3,2,3.648691570733714e-15,1.137492680402311e-15,1.049652419571401e-15,4.100870636681753e-15,1.321381713365918e-15,1.203675183417103e-15,1.004791361276888,5.273665642195072e-07,1.060673781641039,1.028202256411167e-06,0
0.005,0,0.01610886598419334,0.001609605828799318,0.3333333333333333,1,5,40,6,0.001152523263186695,0.001116470411108959,0.001212541490650053,0.001228554465608233,0.001419664473089899,0.001666281270002245,1.004722304649548,0.007462521032258583,1.060626746524422,0.0353697255836704,0
0.005,1,0.01608820043380653,0.002113305712251628,0.4,1,6,7,5,0.002107699257079672,0.002056251939996459,0.002032751461444793,0.002599987751207627,0.002738935853450416,0.002810924795545917,1.004691035115088,0.001652207204813012,1.060605448225228,0.006137436312566342,0
0.005,2,0.01632409471864778,0.002860182104929085,0.4,1,4,4,5,0.002125782276679912,0.002050926869697164,0.002058652757027411,0.002363039035622433,0.002506145782738806,0.002845423419708011,1.005048547612803,0.005003483038522739,1.060848945010027,0.01870553812100628,0
0.005,3,0.01618210340898851,4.554545588225524e-05,1,1,4,38,2,0.0001153451366461278,0.0001487156562714809,0.0001119183899842393,0.0001273357266362641,0.0003872735111968193,0.0001264061937147353,1.004833199806413,0.001062706487716875,1.060702277775194,0.003628790798729389,0
0.005,4,0.01598991775273337,0.0003655140917733554,1,1,4,4,2,0.0003009029551948969,0.0002842772232071713,0.0002909061001957443,0.0003304420887358319,0.0003561193873549633,0.0003274445303885141,1.004542453520155,0.0006790528570370003,1.060504243567973,0.002310551994491077,0
0.01,0,0.0160619327532954,0.00385871631772013,0.3333333333333333,1,11,16,6,0.003931587412664794,0.003899079933854712,0.002839170081336181,0.004920845079099416,0.004989725660220286,0.003745201729319251,1.004651302816738,0.01765450567505174,1.060578385476006,0.07971803084296383,0
0.01,1,0.01602049837487595,0.004883780306871363,0.4,1,9,17,5,0.004763686616943089,0.004676553396877469,0.004424010150172941,0.005689508204361968,0.005956449871227036,0.006031930297076709,1.004588661218042,0.003702450589256255,1.060535717909167,0.01196421623864099,0
0.01,2,0.01649308847273947,0.006478854679208765,0.4,1,12,18,5,0.004351432071882931,0.004312482575437803,0.004633409890906501,0.007870892436270021,0.007964547245587322,0.006267432748302788,1.005305444787838,0.01321859028389259,1.061023897970159,0.0483971824689017,0
0.01,3,0.01620905113581604,0.0009223909708860079,0.3333333333333333,1,7,8,6,0.001446999569336322,0.001407698065138409,0.0009962595980473768,0.001867297007344784,0.001805920507699603,0.001334736722352902,1.004874034290753,0.001472596217770439,1.060730089707552,0.004816197250910409,0
