model,term,dx1_coefficient,dx2_coefficient,active
B1_full_sindy,1,0,0,False
B2_free_residual_sindy,1,0,0,False
B1_full_sindy,x1,0,-0.1999999999999962,True
B2_free_residual_sindy,x1,0,1.670635839955203,True
B1_full_sindy,x2,1,-0.2000000000000005,True
B2_free_residual_sindy,x2,0,0,False
B1_full_sindy,x1^2,0,0,False
B2_free_residual_sindy,x1^2,0,0,False
B1_full_sindy,x1*x2,0,0,False
B2_free_residual_sindy,x1*x2,0,0,False
B1_full_sindy,x2^2,0,0,False
B2_free_residual_sindy,x2^2,0,0,False
B1_full_sindy,x1^3,0,-1,True
B2_free_residual_sindy,x1^3,0,-0.9999999999999983,True
B1_full_sindy,x1^2*x2,0,0,False
B2_free_residual_sindy,x1^2*x2,0,0,False
B1_full_sindy,x1*x2^2,0,0,False
B2_free_residual_sindy,x1*x2^2,0,0,False
B1_full_sindy,x2^3,0,0,False
B2_free_residual_sindy,x2^3,0,0,False
B3_slot_constrained_pk,x1^0,,0.2000000000000001,True
B3_slot_constrained_pk,x1^1,,0,False
B3_slot_constrained_pk,x1^2,,0.9999999999999989,True
B3_slot_constrained_pk,x1^3,,0,False
B3_slot_constrained_pk,x1^4,,0,False
