model,term,dx1_coefficient,dx2_coefficient,active
B1_full_sindy_with_input,1,0,0,False
B2_free_residual_sindy_with_input,1,0,0,False
B1_full_sindy_with_input,x1,0,0.9999999999999988,True
B2_free_residual_sindy_with_input,x1,0,1.135064138986229,True
B1_full_sindy_with_input,x2,0.9999999999999983,-0.299999999999998,True
B2_free_residual_sindy_with_input,x2,0,0,False
B1_full_sindy_with_input,u,0,0.9999999999999959,True
B2_free_residual_sindy_with_input,u,0,0,False
B1_full_sindy_with_input,x1^2,0,0,False
B2_free_residual_sindy_with_input,x1^2,0,0,False
B1_full_sindy_with_input,x1*x2,0,0,False
B2_free_residual_sindy_with_input,x1*x2,0,0,False
B1_full_sindy_with_input,x1*u,0,0,False
B2_free_residual_sindy_with_input,x1*u,0,0,False
B1_full_sindy_with_input,x2^2,0,0,False
B2_free_residual_sindy_with_input,x2^2,0,0,False
B1_full_sindy_with_input,x2*u,0,0,False
B2_free_residual_sindy_with_input,x2*u,0,0,False
B1_full_sindy_with_input,u^2,0,0,False
B2_free_residual_sindy_with_input,u^2,0,0,False
B1_full_sindy_with_input,x1^3,0,-1.000000000000002,True
B2_free_residual_sindy_with_input,x1^3,0,-1,True
B1_full_sindy_with_input,x1^2*x2,0,0,False
B2_free_residual_sindy_with_input,x1^2*x2,0,0,False
B1_full_sindy_with_input,x1^2*u,0,0,False
B2_free_residual_sindy_with_input,x1^2*u,0,0,False
B1_full_sindy_with_input,x1*x2^2,0,0,False
B2_free_residual_sindy_with_input,x1*x2^2,0,0,False
B1_full_sindy_with_input,x1*x2*u,0,0,False
B2_free_residual_sindy_with_input,x1*x2*u,0,0,False
B1_full_sindy_with_input,x1*u^2,0,0,False
B2_free_residual_sindy_with_input,x1*u^2,0,0,False
B1_full_sindy_with_input,x2^3,0,0,False
B2_free_residual_sindy_with_input,x2^3,0,0,False
B1_full_sindy_with_input,x2^2*u,0,0,False
B2_free_residual_sindy_with_input,x2^2*u,0,0,False
B1_full_sindy_with_input,x2*u^2,0,0,False
B2_free_residual_sindy_with_input,x2*u^2,0,0,False
B1_full_sindy_with_input,u^3,0,0,False
B2_free_residual_sindy_with_input,u^3,0,0,False
B3_slot_constrained_pk,x1^0,,-0.9999999999999972,True
B3_slot_constrained_pk,x1^1,,0,False
B3_slot_constrained_pk,x1^2,,1,True
B3_slot_constrained_pk,x1^3,,0,False
B3_slot_constrained_pk,x1^4,,0,False
