trajectory_id,split,amplitude,model,vector_field_nrmse
train_rollout_A0.46,train_amplitude_extended,0.46,B0_known_forcing_constant_stiffness,0.5088422906643588
train_rollout_A0.46,train_amplitude_extended,0.46,B1_full_sindy_with_input,3.749146294957441e-15
train_rollout_A0.46,train_amplitude_extended,0.46,B2_free_residual_sindy_with_input,3.82645662570964e-15
train_rollout_A0.46,train_amplitude_extended,0.46,B3_slot_constrained_known_forcing,3.646330405427349e-15
train_rollout_A0.46,train_amplitude_extended,0.46,B4_oracle_reference,0
train_rollout_A0.49,train_amplitude_extended,0.49,B0_known_forcing_constant_stiffness,0.4927098325717155
train_rollout_A0.49,train_amplitude_extended,0.49,B1_full_sindy_with_input,4.373801400208841e-15
train_rollout_A0.49,train_amplitude_extended,0.49,B2_free_residual_sindy_with_input,4.295788340790843e-15
train_rollout_A0.49,train_amplitude_extended,0.49,B3_slot_constrained_known_forcing,4.089513829126201e-15
train_rollout_A0.49,train_amplitude_extended,0.49,B4_oracle_reference,0
test_A0.20,test_amplitude,0.2,B0_known_forcing_constant_stiffness,0.6689606580463467
test_A0.20,test_amplitude,0.2,B1_full_sindy_with_input,5.758399205899574e-15
test_A0.20,test_amplitude,0.2,B2_free_residual_sindy_with_input,5.855483066338805e-15
test_A0.20,test_amplitude,0.2,B3_slot_constrained_known_forcing,5.55181842486876e-15
test_A0.20,test_amplitude,0.2,B4_oracle_reference,0
test_A0.35,test_amplitude,0.35,B0_known_forcing_constant_stiffness,0.571505619383997
test_A0.35,test_amplitude,0.35,B1_full_sindy_with_input,4.239987596452716e-15
test_A0.35,test_amplitude,0.35,B2_free_residual_sindy_with_input,4.294817057977002e-15
test_A0.35,test_amplitude,0.35,B3_slot_constrained_known_forcing,4.093259857786337e-15
test_A0.35,test_amplitude,0.35,B4_oracle_reference,0
test_A0.48,test_amplitude,0.48,B0_known_forcing_constant_stiffness,0.496567190032523
test_A0.48,test_amplitude,0.48,B1_full_sindy_with_input,4.146687329775714e-15
test_A0.48,test_amplitude,0.48,B2_free_residual_sindy_with_input,4.131938085396049e-15
test_A0.48,test_amplitude,0.48,B3_slot_constrained_known_forcing,3.923358177727163e-15
test_A0.48,test_amplitude,0.48,B4_oracle_reference,0
test_A0.58,test_amplitude,0.58,B0_known_forcing_constant_stiffness,0.590065129941287
test_A0.58,test_amplitude,0.58,B1_full_sindy_with_input,4.673786803338001e-15
test_A0.58,test_amplitude,0.58,B2_free_residual_sindy_with_input,3.798372728893781e-15
test_A0.58,test_amplitude,0.58,B3_slot_constrained_known_forcing,3.658082832099121e-15
test_A0.58,test_amplitude,0.58,B4_oracle_reference,0
test_A0.75,test_amplitude,0.75,B0_known_forcing_constant_stiffness,0.5152583425393856
test_A0.75,test_amplitude,0.75,B1_full_sindy_with_input,4.945696542962851e-15
test_A0.75,test_amplitude,0.75,B2_free_residual_sindy_with_input,3.920143932526896e-15
test_A0.75,test_amplitude,0.75,B3_slot_constrained_known_forcing,3.789874249496402e-15
test_A0.75,test_amplitude,0.75,B4_oracle_reference,0
