model,term,dtheta_coefficient,domega_coefficient,active
B1_full_sindy,1,0,0,False
B2_free_residual_sindy,1,0,0,False
B1_full_sindy,theta,0,-0.9999999446472406,True
B2_free_residual_sindy,theta,0,-0.008815444803384769,True
B1_full_sindy,omega,1,-0.05000000005133146,True
B2_free_residual_sindy,omega,0,0,False
B1_full_sindy,theta^2,0,0,False
B2_free_residual_sindy,theta^2,0,0,False
B1_full_sindy,theta*omega,0,0,False
B2_free_residual_sindy,theta*omega,0,0,False
B1_full_sindy,omega^2,0,0,False
B2_free_residual_sindy,omega^2,0,0,False
B1_full_sindy,theta^3,0,0.1666658471604752,True
B2_free_residual_sindy,theta^3,0,0.1666658470626972,True
B1_full_sindy,theta^2*omega,0,-2.233575320472315e-08,False
B2_free_residual_sindy,theta^2*omega,0,-2.303456272231544e-08,False
B1_full_sindy,theta*omega^2,0,-9.921517860349662e-08,False
B2_free_residual_sindy,theta*omega^2,0,-9.922229546265608e-08,False
B1_full_sindy,omega^3,0,0,False
B2_free_residual_sindy,omega^3,0,0,False
B1_full_sindy,theta^4,0,0,False
B2_free_residual_sindy,theta^4,0,0,False
B1_full_sindy,theta^3*omega,0,0,False
B2_free_residual_sindy,theta^3*omega,0,0,False
B1_full_sindy,theta^2*omega^2,0,0,False
B2_free_residual_sindy,theta^2*omega^2,0,0,False
B1_full_sindy,theta*omega^3,0,0,False
B2_free_residual_sindy,theta*omega^3,0,0,False
B1_full_sindy,omega^4,0,0,False
B2_free_residual_sindy,omega^4,0,0,False
B1_full_sindy,theta^5,0,-0.008329893783776479,True
B2_free_residual_sindy,theta^5,0,-0.008329893491474994,True
B1_full_sindy,theta^4*omega,0,9.903710438259584e-08,False
B2_free_residual_sindy,theta^4*omega,0,1.012950858449312e-07,False
B1_full_sindy,theta^3*omega^2,0,4.988754078405778e-07,False
B2_free_residual_sindy,theta^3*omega^2,0,4.989987257011495e-07,False
B1_full_sindy,theta^2*omega^3,0,8.557180378561616e-08,False
B2_free_residual_sindy,theta^2*omega^3,0,8.55144190593678e-08,False
B1_full_sindy,theta*omega^4,0,1.789044488396283e-07,False
B2_free_residual_sindy,theta*omega^4,0,1.788733834438813e-07,False
B1_full_sindy,omega^5,0,0,False
B2_free_residual_sindy,omega^5,0,0,False
B1_full_sindy,theta^6,0,0,False
B2_free_residual_sindy,theta^6,0,0,False
B1_full_sindy,theta^5*omega,0,0,False
B2_free_residual_sindy,theta^5*omega,0,0,False
B1_full_sindy,theta^4*omega^2,0,0,False
B2_free_residual_sindy,theta^4*omega^2,0,0,False
B1_full_sindy,theta^3*omega^3,0,0,False
B2_free_residual_sindy,theta^3*omega^3,0,0,False
B1_full_sindy,theta^2*omega^4,0,0,False
B2_free_residual_sindy,theta^2*omega^4,0,0,False
B1_full_sindy,theta*omega^5,0,0,False
B2_free_residual_sindy,theta*omega^5,0,0,False
B1_full_sindy,omega^6,0,0,False
B2_free_residual_sindy,omega^6,0,0,False
B1_full_sindy,theta^7,0,0.0001930513258378371,True
B2_free_residual_sindy,theta^7,0,0.000193051090506987,True
B1_full_sindy,theta^6*omega,0,-7.621590034338761e-08,False
B2_free_residual_sindy,theta^6*omega,0,-7.814301105998339e-08,False
B1_full_sindy,theta^5*omega^2,0,-3.878203978990019e-07,False
B2_free_residual_sindy,theta^5*omega^2,0,-3.880834739359135e-07,False
B1_full_sindy,theta^4*omega^3,0,-2.389050408623842e-07,False
B2_free_residual_sindy,theta^4*omega^3,0,-2.388803135446704e-07,False
B1_full_sindy,theta^3*omega^4,0,-5.453493673783068e-07,False
B2_free_residual_sindy,theta^3*omega^4,0,-5.452757098449577e-07,False
B1_full_sindy,theta^2*omega^5,0,-4.643095701402993e-08,False
B2_free_residual_sindy,theta^2*omega^5,0,-4.639378655766755e-08,False
B1_full_sindy,theta*omega^6,0,-8.693190326372811e-08,False
B2_free_residual_sindy,theta*omega^6,0,-8.691070271074035e-08,False
B1_full_sindy,omega^7,0,0,False
B2_free_residual_sindy,omega^7,0,0,False
B3_slot_constrained_pk,theta^0,,0.9999999541375896,True
B3_slot_constrained_pk,theta^2,,-0.1666659067516995,True
B3_slot_constrained_pk,theta^4,,0.008329985498091544,True
B3_slot_constrained_pk,theta^6,,-0.0001930943047677764,True
