model,term,dv_coefficient,active
B1_full_sindy,1,0,False
B1_full_sindy,v,-0.08000000000000013,True
B1_full_sindy,abs(v),0,False
B1_full_sindy,v*abs(v),-0.5500000000000003,True
B1_full_sindy,u,1.000000000000001,True
B1_full_sindy,v*u,0,False
B1_full_sindy,abs(v)*u,0,False
B1_full_sindy,v^2,0,False
B1_full_sindy,v^3,0,False
B2_free_residual_sindy,1,0,False
B2_free_residual_sindy,v,0.07189038175962281,True
B2_free_residual_sindy,abs(v),0,False
B2_free_residual_sindy,v*abs(v),-0.55,True
B2_free_residual_sindy,u,0,False
B2_free_residual_sindy,v*u,0,False
B2_free_residual_sindy,abs(v)*u,0,False
B2_free_residual_sindy,v^2,0,False
B2_free_residual_sindy,v^3,0,False
B3_slot_constrained_pv,1,0.08000000000000007,True
B3_slot_constrained_pv,abs(v),0.5499999999999998,True
