model,feature,coefficient
B0_viscous,acc,95.10153962227918
B0_viscous,v,411.07761723938336
B0_viscous,1,-3.121255939621225
B0_symmetric_coulomb,acc,95.27255449853185
B0_symmetric_coulomb,v,210.96492608562804
B0_symmetric_coulomb,sign(v),19.444618739218196
B0_symmetric_coulomb,1,-3.15008818538718
B3_asymmetric_friction_slot,acc,95.31514190636526
B3_asymmetric_friction_slot,v_pos,174.94531513600933
B3_asymmetric_friction_slot,I_pos,19.326487903430785
B3_asymmetric_friction_slot,v_neg,247.20596680690383
B3_asymmetric_friction_slot,sign_neg,19.53818375577695
B3_asymmetric_friction_slot,1,-0.21169585234644564
B1_full_polynomial_inverse,acc,95.28355945211506
B1_full_polynomial_inverse,v,331.8462017131856
B1_full_polynomial_inverse,sign(v),16.0706285475504
B1_full_polynomial_inverse,abs(v),-17.50769356611005
B1_full_polynomial_inverse,v*abs(v),-801.6095397916854
B1_full_polynomial_inverse,v^2,-123.77994221307057
B1_full_polynomial_inverse,acc*v,-3.2314519329305087
B1_full_polynomial_inverse,1,-0.8343252083639486
