model,feature,coefficient
B0_fixed_cooling,1,-0.003026813869519048
B0_fixed_cooling,i2,0.0028669856687749667
B0_fixed_cooling,elec_power,0.03533810225211012
B0_fixed_cooling,mech_power,-0.023247606259092595
B0_fixed_cooling,-delta_coolant,0.00043506742100048754
B3_speed_adaptive_cooling_slot,1,-0.0013230729499337309
B3_speed_adaptive_cooling_slot,i2,0.0046658382001635535
B3_speed_adaptive_cooling_slot,elec_power,0.020676940639209135
B3_speed_adaptive_cooling_slot,mech_power,-0.012253876166088978
B3_speed_adaptive_cooling_slot,-delta_coolant,0.0006205164522262165
B3_speed_adaptive_cooling_slot,-delta_coolant*abs(speed),-0.0001338479117892713
B3_operating_adaptive_cooling_slot,1,-0.0010962656883355855
B3_operating_adaptive_cooling_slot,i2,0.003261746557437783
B3_operating_adaptive_cooling_slot,elec_power,0.0201105566413296
B3_operating_adaptive_cooling_slot,mech_power,-0.010733413038342842
B3_operating_adaptive_cooling_slot,-delta_coolant,0.0006301647341898692
B3_operating_adaptive_cooling_slot,-delta_coolant*abs(speed),-0.0001411196789288816
B3_operating_adaptive_cooling_slot,-delta_coolant*i2,-6.709152871151317e-05
B3_operating_adaptive_cooling_slot,-delta_coolant*mech_power,5.63092459491053e-05
B1_full_linear_features,1,0.004673038980066875
B1_full_linear_features,i2,0.005964461212690089
B1_full_linear_features,elec_power,0.06736709087129389
B1_full_linear_features,mech_power,-0.0563475739754298
B1_full_linear_features,-delta_coolant,0.0004105724220203666
B1_full_linear_features,-delta_coolant*abs(speed),-1.1735810570048398e-06
B1_full_linear_features,-delta_ambient,0.00040938543275380947
B1_full_linear_features,abs(speed),0.0058385479597944665
B1_full_linear_features,torque,-0.006584094069972841
