model,split,profile_id,n_samples,rollout_rmse_c,rollout_nrmse,rollout_mae_c,rollout_bias_c,rollout_max_abs_c
B0_fixed_cooling,train,20,43371,12.672404928655778,0.6695694615080814,9.089922573780665,-3.011918144136714,33.951358741104656
B0_fixed_cooling,train,6,39788,11.470674795294274,0.8461660135040012,9.40544820693691,2.2194646576721038,21.877509282545773
B0_fixed_cooling,train,65,39494,9.228925736543253,0.6181895935664651,7.2740488308194475,-3.7874646664206866,23.968519782958367
B0_fixed_cooling,train,18,37132,4.757614907892451,0.8815252756544346,2.9803549057233325,-2.9719389456292133,10.41316859023461
B0_fixed_cooling,train,66,35876,3.6111037004293283,0.29983768522421983,2.85920363700111,1.3335921884343502,10.019287355396813
B0_fixed_cooling,train,13,35306,6.998974332159146,2.1361437125266134,6.197112655775811,-6.197108008135934,11.295455577251028
B0_fixed_cooling,train,27,34761,12.43336044295757,0.6066322560180339,8.91647693415379,-1.4210102208987645,32.56747177061463
B0_fixed_cooling,train,4,32824,16.19397707977577,1.0216669799707945,12.139006197880562,-9.498460982182376,38.017436975239725
B0_fixed_cooling,train,58,32782,14.300338452369608,1.4118645816022029,12.1806263108573,11.586964806096049,26.950606363631167
B0_fixed_cooling,train,56,32523,15.797160026561107,1.4247023003701456,14.037624681057833,13.109524047654123,29.7611736097779
B0_fixed_cooling,test,53,31842,4.502443927792892,0.5871217962044645,3.677745072095089,3.2062589355167193,11.186580540686066
B0_fixed_cooling,test,79,30554,4.589162534211237,0.415228099847431,3.48725710134336,-2.9062047290068733,14.159366637500575
B0_fixed_cooling,test,44,25741,4.197440107121639,0.36540976306865,3.2771683325316077,2.1196182260790275,9.1818475612396
B0_fixed_cooling,test,70,25077,4.730832883353727,0.5332826161632166,3.566391598488826,-3.466122375020129,13.55265545171595
B0_fixed_cooling,test,62,25000,5.60528878286057,0.41276387431574446,4.824043668706836,-4.493241191147248,11.470910282845267
B0_fixed_cooling,test,30,23263,3.235278117520362,0.4615351994347602,2.735368233549991,-0.2967361605168645,6.043634965915608
B3_speed_adaptive_cooling_slot,train,20,43371,12.245144114662173,0.6469943627198241,8.837907954327022,-4.533022728428028,31.791599409020904
B3_speed_adaptive_cooling_slot,train,6,39788,16.194498877583563,1.19463194628807,12.808725942670824,4.088525031557508,36.40992612320396
B3_speed_adaptive_cooling_slot,train,65,39494,8.160197824668424,0.5466020120499084,6.334195196267195,-3.7080938644395185,23.071784162779103
B3_speed_adaptive_cooling_slot,train,18,37132,3.811053548165943,0.7061395456802572,2.50480265656238,-1.9473067045532397,7.214529123251541
B3_speed_adaptive_cooling_slot,train,66,35876,6.804172486787101,0.5649650349454136,5.787755722212432,3.504017480868058,13.51376635883544
B3_speed_adaptive_cooling_slot,train,13,35306,4.850162951496652,1.4803090569947686,4.319779475118887,-4.319700652940639,7.08981000897273
B3_speed_adaptive_cooling_slot,train,27,34761,12.074964970944444,0.5891458930406688,9.307555173413528,-5.2466935892125,32.581223088361696
B3_speed_adaptive_cooling_slot,train,4,32824,14.055934519368204,0.8867793316198145,10.4298125264838,-9.55821264139754,33.73755408005868
B3_speed_adaptive_cooling_slot,train,58,32782,13.242234161863063,1.3073985246355597,11.7804027795327,11.558985552192048,22.718736978248714
B3_speed_adaptive_cooling_slot,train,56,32523,13.746582656030528,1.2397663820171139,11.690293098899458,10.705296086618981,28.122564785214706
B3_speed_adaptive_cooling_slot,test,53,31842,4.435183501197489,0.578350990146802,3.598040859339425,2.8451274928352017,11.082683164755451
B3_speed_adaptive_cooling_slot,test,79,30554,5.289693103836132,0.47861220863458653,4.047143853667866,-3.451323791940256,13.713133987330359
B3_speed_adaptive_cooling_slot,test,44,25741,5.619211185170174,0.48918259115167817,4.07497784461237,2.662127353597279,13.399303172968402
B3_speed_adaptive_cooling_slot,test,70,25077,5.002030822654257,0.5638533740264141,4.080753678711359,-4.020377702488894,13.24581452066353
B3_speed_adaptive_cooling_slot,test,62,25000,5.269806995864497,0.38805956959084137,4.583072196342076,-4.346414723011859,11.243500073388375
B3_speed_adaptive_cooling_slot,test,30,23263,3.3379967054214097,0.47618872912540156,2.755331473400789,-2.0552853577127435,6.779049179771427
B3_operating_adaptive_cooling_slot,train,20,43371,12.082479313052598,0.6383996733744928,8.752086514893508,-4.069406765643318,31.346024126468834
B3_operating_adaptive_cooling_slot,train,6,39788,15.325130378323495,1.1305005773483252,12.330203419005302,3.1042223367011785,33.725511548752195
B3_operating_adaptive_cooling_slot,train,65,39494,8.015300894968055,0.5368962481682229,6.203602203139323,-3.5350173816409285,22.790447594019632
B3_operating_adaptive_cooling_slot,train,18,37132,3.7161075392296636,0.68854726292509,2.487834835865652,-2.4684894273056592,6.9759711829730655
B3_operating_adaptive_cooling_slot,train,66,35876,6.7820815302117685,0.5631307754409998,5.786434249337889,3.4898735492351918,12.853088320755404
B3_operating_adaptive_cooling_slot,train,13,35306,5.0782678488618505,1.5499285211017155,4.764907636902531,-4.7648955673798215,6.793533021088358
B3_operating_adaptive_cooling_slot,train,27,34761,11.933053210429504,0.582221920086484,9.039096139429423,-5.385493024348139,32.839967981596956
B3_operating_adaptive_cooling_slot,train,4,32824,13.967758036408624,0.8812163373901717,10.29235318886961,-9.534609377506527,33.668954790456
B3_operating_adaptive_cooling_slot,train,58,32782,13.278044064272896,1.3109340166836305,11.79693882525002,11.561189265725615,22.794280549134314
