profile_id,n_samples,role
20,43971,train
6,40388,train
65,40094,train
18,37732,train
66,36476,train
13,35906,train
27,35361,train
4,33424,train
58,33382,train
56,33123,train
53,32442,test
79,31154,test
44,26341,test
70,25677,test
62,25600,test
30,23863,test
80,23824,unused
74,23761,unused
68,23331,unused
36,22609,unused
76,22188,unused
48,21983,unused
12,21942,unused
29,21358,unused
32,20960,unused
16,20645,unused
9,20336,unused
2,19357,unused
3,19248,unused
8,18757,unused
14,18598,unused
15,18124,unused
81,17672,unused
21,17321,unused
45,17142,unused
42,16920,unused
73,16786,unused
41,16700,unused
63,16668,unused
26,16666,unused
17,15964,unused
31,15587,unused
69,15350,unused
72,15301,unused
10,15256,unused
24,15015,unused
5,14788,unused
71,14656,unused
7,14651,unused
60,14543,unused
61,14516,unused
57,14403,unused
75,13472,unused
23,11856,unused
67,11135,unused
49,10816,unused
50,10810,unused
54,10807,unused
55,10807,unused
19,10410,unused
78,8445,unused
43,8443,unused
11,7887,unused
59,7475,unused
51,6261,unused
64,6250,unused
52,3726,unused
46,2180,unused
47,2176,unused
