model,feature,coefficient
B0_fixed_envelope,1,-5.5326652580943736e-05
B0_fixed_envelope,Tout-Tzone,-3.0856778734508194e-06
B0_fixed_envelope,HVAC,1.5648111945797403e-06
B0_fixed_envelope,Solar,2.5972343551888694e-05
B3_weather_adaptive_envelope_slot,1,-5.449063765826684e-05
B3_weather_adaptive_envelope_slot,Tout-Tzone,-3.271572480283452e-06
B3_weather_adaptive_envelope_slot,(Tout-Tzone)*wind,4.3087081525591405e-07
B3_weather_adaptive_envelope_slot,(Tout-Tzone)*solar,-9.040039175178594e-08
B3_weather_adaptive_envelope_slot,HVAC,1.6620695378227956e-06
B3_weather_adaptive_envelope_slot,Solar,2.689696146918352e-05
B1_full_linear_features,1,0.001389264506414571
B1_full_linear_features,Tout-Tzone,6.282657530932458e-08
B1_full_linear_features,(Tout-Tzone)*wind,-9.479010119298521e-07
B1_full_linear_features,(Tout-Tzone)*solar,6.946023772061212e-07
B1_full_linear_features,HVAC,-1.4121411698175051e-06
B1_full_linear_features,Solar,4.9078569043915226e-05
B1_full_linear_features,wind,-1.4628293550106106e-05
B1_full_linear_features,RH,9.962194831668106e-06
B1_full_linear_features,Tzone,-6.817909848799255e-05
