system,model,model_role,split,n_samples,score_start_index,nrmse,rmse,mae,fit_percent
E6_Cascaded_Tanks,B0_linear_outflow,physical_slot_candidate,protocol_train,717,50,0.5356421169931045,1.116239806738546,1.0026116450849025,46.43578830068955
E6_Cascaded_Tanks,B0_linear_outflow,physical_slot_candidate,protocol_validation,307,50,0.5523470648174775,1.4387294107948478,1.1853002002662145,44.76529351825225
E6_Cascaded_Tanks,B0_linear_outflow,physical_slot_candidate,official_test,1024,50,0.553019381475095,1.1723967268250715,1.0299224975106365,44.6980618524905
E6_Cascaded_Tanks,B3_sqrt_outflow_slot,physical_slot_candidate,protocol_train,717,50,0.28067246450278943,0.584901313011311,0.45379277198167556,71.93275354972106
E6_Cascaded_Tanks,B3_sqrt_outflow_slot,physical_slot_candidate,protocol_validation,307,50,0.3444853866649428,0.897300427490578,0.7360268193415526,65.55146133350571
E6_Cascaded_Tanks,B3_sqrt_outflow_slot,physical_slot_candidate,official_test,1024,50,0.3710793648028603,0.7866853265192342,0.6126840401930455,62.89206351971397
E7_EMPS,B0_viscous,physical_slot_candidate,protocol_train,1736,0,0.170808646968366,9.1566248563726,7.855174129539417,82.91913530316339
E7_EMPS,B0_viscous,physical_slot_candidate,protocol_validation,744,0,0.17308622667139298,9.078376477195105,7.663504890985079,82.69137733286071
E7_EMPS,B0_viscous,physical_slot_candidate,official_test,2480,0,0.1701238265801949,9.660458055697685,8.059110470062906,82.98761734198051
E7_EMPS,B0_symmetric_coulomb,physical_slot_candidate,protocol_train,1736,0,0.05989562532078613,3.210854844496617,1.8513169008784258,94.01043746792139
E7_EMPS,B0_symmetric_coulomb,physical_slot_candidate,protocol_validation,744,0,0.061697054644883384,3.2360119021122724,2.0111010805797824,93.83029453551165
E7_EMPS,B0_symmetric_coulomb,physical_slot_candidate,official_test,2480,0,0.07274939415004039,4.131064324682313,2.6981430851240464,92.72506058499597
E7_EMPS,B3_asymmetric_friction_slot,physical_slot_candidate,protocol_train,1736,0,0.05413421438506245,2.9019999971679877,1.3876500561391734,94.58657856149375
E7_EMPS,B3_asymmetric_friction_slot,physical_slot_candidate,protocol_validation,744,0,0.05521593017443621,2.896076778042659,1.4778535918202431,94.47840698255638
E7_EMPS,B3_asymmetric_friction_slot,physical_slot_candidate,official_test,2480,0,0.06747077219829123,3.8313185043476183,2.3706330454227165,93.25292278017088
E7_EMPS,B1_full_polynomial_inverse,free_predictive_baseline,protocol_train,1736,0,0.05070839414322929,2.718350332255863,1.3258096229672136,94.92916058567708
E7_EMPS,B1_full_polynomial_inverse,free_predictive_baseline,protocol_validation,744,0,0.052560230060682334,2.756785247417523,1.4417963302542594,94.74397699393177
E7_EMPS,B1_full_polynomial_inverse,free_predictive_baseline,official_test,2480,0,0.06524387546866699,3.7048644803384394,2.3724426232423523,93.47561245313331
